millis,a_x,a_y,a_z,f
68551,-0.29,0.83,1.12,0
68556,-0.29,0.83,1.12,0
68560,-0.29,0.83,1.12,0
68564,-0.29,0.93,1.12,0
68568,-0.29,0.93,1.12,0
68573,-0.29,0.93,1.12,0
68577,-0.29,0.93,1.12,0
68581,-0.29,0.93,1.12,0
68585,-0.39,0.93,1.27,0
68614,-0.34,1.17,1.12,0
68618,-0.34,1.17,1.12,0
68624,-0.44,1.07,1.37,0
68629,-0.44,1.07,1.37,0
68633,-0.44,1.07,1.37,0
68637,-0.44,1.07,1.37,0
68641,-0.49,0.93,1.03,0
68646,-0.49,0.93,1.03,0
68650,-0.49,0.93,1.03,0
68654,-0.49,0.93,1.03,0
68659,-0.49,0.98,1.27,0
68663,-0.2,0.98,1.27,0
68667,-0.2,0.98,1.27,0
68671,-0.2,0.98,1.27,0
68676,-0.2,0.98,1.27,0
68680,-0.39,1.03,1.27,0
68684,-0.39,1.03,1.27,0
68689,-0.39,1.03,1.27,0
68693,-0.39,1.03,1.27,0
68697,-0.2,0.98,1.17,0
68701,-0.2,0.98,1.17,0
68706,-0.2,0.98,1.17,0
68710,-0.2,0.98,1.17,0
68714,-0.2,0.98,1.17,0
68759,-0.2,0.88,1.07,0
68764,-0.2,0.88,1.07,0
68768,-0.2,0.88,1.07,0
68772,-0.2,0.88,1.07,0
68777,-0.39,0.98,1.07,0
68781,-0.39,0.98,1.07,0
68785,-0.39,0.98,1.07,0
68789,-0.39,0.98,1.07,0
68794,-0.39,0.98,1.07,0
68798,-0.39,0.98,1.07,0
68803,-0.39,0.98,1.07,0
68807,-0.39,0.98,1.07,0
68811,-0.39,0.93,1.32,0
68816,-0.39,0.93,1.32,0
68820,-0.39,0.93,1.32,0
68824,-0.39,0.93,1.32,0
68829,-0.39,0.93,1.03,0
68833,-0.39,0.88,1.03,0
68837,-0.39,0.88,1.03,0
68841,-0.39,0.88,1.03,0
68846,-0.39,0.88,1.03,0
68850,-0.29,0.88,1.32,0
68854,-0.29,0.88,1.32,0
68860,-0.29,0.88,1.32,0
68864,-0.29,0.88,1.32,0
68868,-0.29,0.88,1.27,0
68873,-0.29,0.88,1.27,0
68877,-0.29,0.88,1.27,0
68882,-0.29,0.88,1.27,0
68886,-0.29,0.88,1.03,0
68890,-0.39,1.12,1.03,0
68894,-0.39,1.12,1.03,0
68899,-0.39,1.12,1.03,0
68903,-0.39,1.12,1.03,0
68907,-0.49,1.03,1.03,0
68912,-0.49,1.03,1.03,0
68916,-0.49,1.03,1.03,0
68920,-0.49,1.03,1.03,0
68924,-0.49,0.93,1.12,0
68929,-0.24,0.93,1.12,0
68933,-0.24,0.93,1.12,0
68937,-0.24,0.93,1.12,0
68942,-0.24,0.93,1.12,0
68946,-0.39,1.03,1.17,0
68950,-0.39,1.03,1.17,0
68955,-0.39,1.03,1.17,0
68959,-0.39,1.03,1.17,0
68963,-0.29,0.88,1.27,0
68968,-0.29,0.88,1.27,0
68972,-0.29,0.88,1.27,0
68976,-0.29,0.88,1.27,0
68981,-0.29,0.88,0.83,0
68985,-0.34,0.93,0.83,0
68989,-0.34,0.93,0.83,0
68994,-0.34,0.93,0.83,0
68998,-0.34,0.93,0.83,0
69003,-0.34,0.78,1.37,0
69007,-0.34,0.78,1.37,0
69011,-0.34,0.78,1.37,0
69015,-0.34,0.78,1.37,0
69020,-0.39,0.93,1.12,0
69024,-0.39,0.93,1.12,0
69028,-0.39,0.93,1.12,0
69032,-0.39,0.93,1.12,0
69037,-0.39,0.93,1.12,0
69041,-0.49,0.83,1.03,0
69045,-0.49,0.83,1.03,0
69050,-0.49,0.83,1.03,0
69054,-0.49,0.83,1.03,0
69058,-0.44,0.83,1.03,0
69063,-0.44,0.83,1.03,0
69068,-0.44,0.83,1.03,0
69073,-0.44,0.83,1.03,0
69077,-0.39,0.93,1.07,0
69081,-0.39,0.93,1.07,0
69086,-0.39,0.93,1.07,0
69090,-0.39,0.93,1.07,0
69094,-0.39,0.93,0.88,0
69099,-0.44,1.07,0.88,0
69103,-0.44,1.07,0.88,0
69107,-0.44,1.07,0.88,0
69112,-0.44,1.07,0.88,0
69116,-0.2,0.93,1.12,0
69120,-0.2,0.93,1.12,0
69125,-0.2,0.93,1.12,0
69129,-0.2,0.93,1.12,0
69133,-0.2,1.03,0.93,0
69138,-0.34,1.03,0.93,0
69142,-0.34,1.03,0.93,0
69146,-0.34,1.03,0.93,0
69151,-0.34,1.03,0.73,0
69155,-0.2,1.03,0.73,0
69160,-0.2,1.03,0.73,0
69164,-0.2,1.03,0.73,0
69168,-0.2,1.03,0.73,0
69172,-0.29,0.73,0.98,0
69177,-0.29,0.73,0.98,0
69181,-0.29,0.73,0.98,0
69187,-0.29,0.73,0.98,0
69191,-0.64,1.17,0.88,0
69195,-0.64,1.17,0.88,0
69200,-0.64,1.17,0.88,0
69204,-0.64,1.17,0.88,0
69208,-0.64,1.17,0.93,0
69213,-0.44,1.07,0.93,0
69217,-0.44,1.07,0.93,0
69221,-0.44,1.07,0.93,0
69226,-0.44,1.07,0.93,0
69230,-0.49,1.07,0.83,0
69234,-0.49,1.07,0.83,0
69239,-0.49,1.07,0.83,0
69243,-0.49,1.07,0.83,0
69247,-0.49,0.98,0.78,0
