a_x a_y a_z f
-0.10 1.27 1.27 0
427801 -0.10 1.27 1.27 0
427805 -0.10 1.37 1.27 0
427809 -0.10 1.37 1.27 0
427814 -0.10 1.37 1.27 0
427902 -0.20 0.98 1.17 0
427907 -0.20 0.98 1.17 0
427911 -0.20 0.98 1.17 0
427915 -0.20 0.98 1.17 0
427919 -0.15 0.98 1.12 0
427924 -0.15 0.98 1.12 0
427928 -0.15 0.98 1.12 0
427932 -0.15 0.98 1.12 0
427937 -0.15 0.98 0.93 0
427941 -0.24 0.83 0.93 0
427970 -0.24 1.03 1.12 0
427974 -0.24 1.03 1.03 0
427979 -0.24 0.88 1.03 0
427983 -0.24 0.88 1.03 0
427988 -0.24 0.88 1.03 0
427992 -0.24 0.88 1.03 0
427996 -0.20 0.83 1.17 0
428000 -0.20 0.83 1.17 0
428005 -0.20 0.83 1.17 0
428009 -0.20 0.83 1.17 0
428013 -0.20 0.83 1.12 0
428018 -0.34 1.07 1.12 0
428022 -0.34 1.07 1.12 0
428026 -0.34 1.07 1.12 0
428030 -0.34 1.07 1.12 0
428035 -0.24 0.88 1.07 0
428039 -0.24 0.88 1.07 0
428043 -0.24 0.88 1.07 0
428048 -0.24 0.88 1.07 0
428052 -0.20 0.83 1.22 0
428056 -0.20 0.83 1.22 0
428061 -0.20 0.83 1.22 0
428065 -0.20 0.83 1.22 0
428069 -0.20 0.83 1.12 0
428074 -0.39 0.98 1.12 0
428078 -0.39 0.98 1.12 0
428082 -0.39 0.98 1.12 0
428086 -0.39 0.98 1.12 0
428091 -0.29 1.22 0.98 0
428095 -0.29 1.22 0.98 0
428099 -0.29 1.22 0.98 0
428104 -0.29 1.22 0.98 0
428108 -0.29 1.22 1.22 0
428112 -0.24 1.12 1.22 0
428117 -0.24 1.12 1.22 0
428121 -0.24 1.12 1.22 0
428125 -0.24 1.12 1.22 0
428130 -0.15 1.32 1.27 0
428134 -0.15 1.32 1.27 0
428138 -0.15 1.32 1.27 0
428143 -0.15 1.32 1.27 0
428147 -0.15 1.37 1.27 0
428151 -0.15 1.37 1.27 0
428155 -0.15 1.37 1.27 0
428160 -0.15 1.37 1.27 0
428164 -0.15 1.37 1.17 0
428168 -0.24 1.27 1.17 0
428172 -0.24 1.27 1.17 0
428177 -0.24 1.27 1.17 0
428181 -0.24 1.27 1.17 0
428185 -0.39 1.12 1.32 0
428190 -0.39 1.12 1.32 0
428194 -0.39 1.12 1.32 0
428198 -0.39 1.12 1.32 0
428202 -0.39 1.12 1.22 0
428207 -0.24 0.98 1.22 0
428211 -0.24 0.98 1.22 0
428216 -0.24 0.98 1.22 0
428220 -0.24 0.98 1.22 0
428225 -0.29 0.88 1.47 0
428229 -0.29 0.88 1.47 0
428233 -0.29 0.88 1.47 0
428238 -0.29 0.88 1.47 0
428242 -0.44 1.17 1.32 0
428246 -0.44 1.17 1.32 0
428250 -0.44 1.17 1.32 0
428255 -0.44 1.17 1.32 0
428259 -0.44 1.17 1.42 0
428263 -0.29 0.93 1.42 0
428268 -0.29 0.93 1.42 0
428272 -0.29 0.93 1.42 0
428276 -0.29 0.93 1.42 0
428281 -0.20 0.93 1.56 0
428285 -0.20 0.93 1.56 0
428289 -0.20 0.93 1.56 0
428294 -0.20 0.93 1.56 0
428298 -0.20 0.88 1.56 0
428303 -0.15 0.88 1.56 0
428307 -0.15 0.88 1.56 0
428311 -0.15 0.88 1.56 0
428315 -0.15 0.88 1.56 0
428320 -0.05 0.83 1.56 0
428324 -0.05 0.83 1.56 0
428328 -0.05 0.83 1.56 0
428333 -0.05 0.83 1.56 0
428337 -0.24 0.88 1.61 0
428341 -0.24 0.88 1.61 0
428346 -0.24 0.88 1.61 0
428350 -0.24 0.88 1.61 0
428354 -0.24 0.88 1.86 0
428358 -0.29 1.07 1.86 0
428363 -0.29 1.07 1.86 0
428367 -0.29 1.07 1.86 0
428371 -0.29 1.07 1.86 0
428376 -0.20 0.83 1.81 0
428380 -0.20 0.83 1.81 0
428384 -0.20 0.83 1.81 0
428389 -0.20 0.83 1.81 0
428393 -0.20 0.88 1.61 0
428397 -0.15 0.88 1.61 0
428402 -0.15 0.88 1.61 0
428406 -0.15 0.88 1.61 0
428410 -0.15 0.88 1.61 0
428414 -0.15 1.07 1.76 0
428418 -0.15 1.07 1.76 0
428423 -0.15 1.07 1.76 0
428427 -0.15 1.07 1.76 0
428431 -0.15 0.88 1.56 0
428435 -0.20 0.88 1.56 0
428440 -0.20 0.88 1.56 0
428444 -0.20 0.88 1.56 0
428448 -0.20 0.88 1.56 0
428493 -0.20 0.88 1.86 0
428497 -0.20 0.88 1.86 0
428502 -0.20 0.88 1.86 0
428506 -0.20 0.88 1.71 0
428510 -0.10 0.88 1.71 0
428515 -0.10 0.88 1.71 0
428519 -0.10 0.88 1.71 0
428523 -0.10 0.88 1.71 0
428528 -0.20 0.83 1.95 0
428532 -0.20 0.83 1.95 0
428536 -0.20 0.83 1.95 0
428540 -0.20 0.83 1.95 0
428545 -0.20 0.83 1.76 0
428549 -0.20 0.98 1.76 0
428553 -0.20 0.98 1.76 0
428557 -0.20 0.98 1.76 0
428562 -0.20 0.98 1.76 0
428569 -0.20 0.98 1.86 0
428573 -0.20 0.98 1.86 0
428578 -0.20 0.98 1.86 0
428582 -0.20 0.98 1.95 0
428586 -0.24 1.07 1.95 0
428590 -0.24 1.07 1.95 0
428595 -0.24 1.07 1.95 0
428599 -0.24 1.07 1.95 0
428604 -0.29 0.98 2.00 0
428608 -0.29 0.98 2.00 0
428612 -0.29 0.98 2.00 0
428617 -0.29 0.98 2.00 0
428621 -0.29 1.17 1.76 0
428625 -0.24 1.17 1.76 0
428630 -0.24 1.17 1.76 0
428634 -0.24 1.17 1.76 0
428638 -0.24 1.17 1.95 0
428643 -0.34 1.12 1.95 0
428647 -0.34 1.12 1.95 0
428652 -0.34 1.12 1.95 0
428656 -0.34 1.12 1.95 0
428660 -0.24 1.07 1.86 0
428665 -0.24 1.07 1.86 0
428669 -0.24 1.07 1.86 0
428673 -0.24 1.07 1.86 0
428678 -0.24 1.07 1.61 0
428682 -0.24 1.17 1.61 0
428686 -0.24 1.17 1.61 0
428691 -0.24 1.17 1.61 0
428695 -0.24 1.17 1.61 0
428699 -0.29 1.17 1.76 0
428703 -0.29 1.17 1.76 0
428708 -0.29 1.17 1.76 0
428712 -0.29 1.17 1.76 0
428716 -0.34 0.83 2.15 0
428721 -0.34 0.83 2.15 0
428725 -0.34 0.83 2.15 0
428729 -0.34 0.83 2.15 0
428734 -0.34 0.83 1.61 0
428738 -0.34 0.98 1.61 0
428742 -0.34 0.98 1.61 0
428746 -0.34 0.98 1.61 0
428751 -0.34 0.98 1.61 0
428755 -0.29 0.93 1.81 0
428759 -0.29 0.93 1.81 0
428764 -0.29 0.93 1.81 0
428768 -0.29 0.93 1.81 0
428772 -0.29 0.93 1.91 0
428777 -0.39 0.78 1.91 0
428781 -0.39 0.78 1.91 0
428785 -0.39 0.78 1.91 0
428790 -0.39 0.78 1.91 0
428794 -0.20 0.59 2.00 0
428798 -0.20 0.59 2.00 0
428803 -0.20 0.59 2.00 0
428807 -0.20 0.59 2.00 0
428811 -0.20 0.68 1.86 0
428816 -0.20 0.68 1.86 0
428820 -0.20 0.68 1.86 0
428824 -0.20 0.68 1.86 0
428829 -0.20 0.68 1.76 0
428833 -0.29 0.88 1.76 0
428837 -0.29 0.88 1.76 0
428842 -0.29 0.88 1.76 0
428846 -0.29 0.88 1.76 0
428851 -0.20 0.64 1.91 0
428856 -0.20 0.64 1.91 0
428860 -0.20 0.64 1.91 0
428864 -0.20 0.64 1.91 0
428869 -0.34 0.78 1.81 0
428873 -0.34 0.78 1.81 0
428877 -0.34 0.78 1.81 0
428882 -0.34 0.78 1.81 0
428886 -0.34 0.00 1.76 0
428890 -0.29 0.73 1.76 0
428895 -0.29 0.73 1.76 0
