millis a_x a_y a_z f
570864 -0.59 0.73 0.98 0
570868 -0.83 0.44 1.17 0
570872 -0.83 0.44 1.17 0
570876 -0.83 0.44 1.17 0
570880 -0.83 0.44 1.17 0
570883 -0.83 0.44 1.17 0
570887 -0.73 0.59 0.98 0
570891 -0.73 0.59 0.98 0
570895 -0.73 0.59 0.98 0
570898 -0.73 0.59 0.98 0
570902 -0.73 0.59 0.98 0
570906 -0.78 0.44 1.07 0
570910 -0.78 0.44 1.07 0
570914 -0.78 0.44 1.07 0
570917 -0.78 0.44 1.07 0
570921 -0.78 0.44 1.07 0
570925 -0.78 0.39 1.17 0
570929 -0.78 0.39 1.17 0
570972 -0.78 0.54 1.07 0
570976 -0.78 0.54 1.07 0
570979 -0.78 0.54 1.22 0
570983 -0.83 0.54 1.22 0
570987 -0.83 0.54 1.22 0
570991 -0.83 0.54 1.22 0
570995 -0.83 0.54 1.22 0
570999 -0.83 0.54 1.03 0
571002 -0.78 0.54 1.03 0
571006 -0.78 0.54 1.03 0
571010 -0.78 0.54 1.03 0
571014 -0.78 0.54 1.03 0
571018 -0.78 0.54 1.32 0
571022 -0.83 0.54 1.32 0
571026 -0.83 0.54 1.32 0
571029 -0.83 0.54 1.32 0
571033 -0.83 0.54 1.32 0
571037 -0.83 0.59 1.12 0
571041 -0.83 0.59 1.12 0
571045 -0.83 0.59 1.12 0
571049 -0.83 0.59 1.12 0
571053 -0.83 0.59 1.12 0
571057 -0.83 0.64 0.93 0
571061 -0.83 0.64 0.93 0
571065 -0.83 0.64 0.93 0
571069 -0.83 0.64 0.93 0
571072 -0.83 0.64 0.93 0
571076 -0.64 0.59 1.07 0
571080 -0.64 0.59 1.07 0
571084 -0.64 0.59 1.07 0
571088 -0.64 0.59 1.07 0
571092 -0.64 0.59 1.07 0
571096 -0.59 0.64 1.17 0
571100 -0.59 0.64 1.17 0
571103 -0.59 0.64 1.17 0
571107 -0.59 0.64 1.17 0
571111 -0.59 0.64 1.17 0
571115 -0.83 0.44 1.12 0
571119 -0.83 0.44 1.12 0
571123 -0.83 0.44 1.12 0
571127 -0.83 0.44 1.12 0
571130 -0.83 0.44 1.12 0
571134 -0.83 0.44 1.07 0
571138 -0.83 0.44 1.07 0
571142 -0.83 0.44 1.07 0
571145 -0.83 0.44 1.07 0
571149 -0.83 0.44 1.07 0
571153 -0.88 0.78 1.03 0
571157 -0.88 0.78 1.03 0
571161 -0.88 0.78 1.03 0
571165 -0.88 0.78 1.03 0
571168 -0.88 0.78 1.03 0
571172 -0.68 0.49 1.42 0
571176 -0.68 0.49 1.42 0
571180 -0.68 0.49 1.42 0
571184 -0.68 0.49 1.42 0
571188 -0.68 0.49 0.98 0
571191 -0.83 0.34 0.98 0
571195 -0.83 0.34 0.98 0
571199 -0.83 0.34 0.98 0
571203 -0.83 0.34 0.98 0
571207 -0.83 0.34 1.12 0
571210 -0.73 0.44 1.12 0
571214 -0.73 0.44 1.12 0
571218 -0.73 0.44 1.12 0
571222 -0.73 0.44 1.12 0
571226 -0.73 0.44 1.07 0
571230 -0.73 0.54 1.07 0
571234 -0.73 0.54 1.07 0
571237 -0.73 0.54 1.07 0
571241 -0.73 0.54 1.07 0
571245 -0.73 0.54 1.03 0
571249 -0.59 0.68 1.03 0
571253 -0.59 0.68 1.03 0
571256 -0.59 0.68 1.03 0
571260 -0.59 0.68 1.03 0
571264 -0.59 0.68 0.98 0
571268 -0.68 0.49 0.98 0
571271 -0.68 0.49 0.98 0
571275 -0.68 0.49 0.98 0
571279 -0.68 0.49 0.98 0
571283 -0.68 0.49 1.22 0
571287 -0.68 0.59 1.22 0
571290 -0.68 0.59 1.22 0
571294 -0.68 0.59 1.22 0
571298 -0.68 0.59 1.22 0
571302 -0.68 0.59 1.07 0
571306 -0.88 0.54 1.07 0
571310 -0.88 0.54 1.07 0
571314 -0.88 0.54 1.07 0
571317 -0.88 0.54 1.07 0
571321 -0.88 0.54 1.12 0
571325 -0.78 0.44 1.12 0
571329 -0.78 0.44 1.12 0
571332 -0.78 0.44 1.12 0
571336 -0.78 0.44 1.12 0
571340 -0.78 0.44 1.12 0
571344 -0.83 0.49 1.12 0
571348 -0.83 0.49 1.12 0
571352 -0.83 0.49 1.12 0
571356 -0.83 0.49 1.12 0
571359 -0.83 0.49 1.12 0
571363 -0.83 0.49 1.12 0
571367 -0.83 0.49 1.12 0
571371 -0.83 0.49 1.12 0
571374 -0.83 0.49 1.12 0
571378 -0.83 0.49 1.12 0
571382 -0.64 0.54 1.12 0
571386 -0.64 0.54 1.12 0
571389 -0.64 0.54 1.12 0
571393 -0.64 0.54 1.12 0
571423 -0.73 0.68 1.07 0
571427 -0.73 0.68 1.07 0
571431 -0.73 0.68 1.07 0
571434 -0.73 0.68 1.07 0
571438 -0.83 0.44 1.12 0
571444 -0.83 0.44 1.12 0
571448 -0.83 0.44 1.12 0
571452 -0.83 0.44 1.12 0
571456 -0.83 0.44 1.22 0
571460 -0.83 0.44 1.22 0
571463 -0.83 0.44 1.22 0
571467 -0.83 0.44 1.22 0
571471 -0.83 0.44 1.22 0
571475 -0.78 0.68 1.07 0
571479 -0.78 0.68 1.07 0
571483 -0.78 0.68 1.07 0
571487 -0.78 0.68 1.07 0
571490 -0.78 0.68 1.07 0
571494 -0.73 0.68 1.03 0
571498 -0.73 0.68 1.03 0
571502 -0.73 0.68 1.03 0
571506 -0.73 0.68 1.03 0
571510 -0.73 0.68 1.03 0
571514 -0.78 0.54 1.27 0
571518 -0.78 0.54 1.27 0
571522 -0.78 0.54 1.27 0
571525 -0.78 0.54 1.27 0
571529 -0.78 0.54 1.27 0
571533 -0.83 0.59 1.03 0
571537 -0.83 0.59 1.03 0
571541 -0.83 0.59 1.03 0
571545 -0.83 0.59 1.03 0
571549 -0.83 0.59 1.17 0
571552 -0.73 0.44 1.17 0
571556 -0.73 0.44 1.17 0
571560 -0.73 0.44 1.17 0
571564 -0.73 0.44 1.17 0
571568 -0.73 0.44 1.27 0
571572 -0.68 0.59 1.27 0
571575 -0.68 0.59 1.27 0
571579 -0.68 0.59 1.27 0
571583 -0.68 0.59 1.27 0
571587 -0.68 0.59 1.03 0
571591 -0.73 0.78 1.03 0
571595 -0.73 0.78 1.03 0
571599 -0.73 0.78 1.03 0
571602 -0.73 0.78 1.03 0
571606 -0.73 0.78 1.12 0
571610 -0.59 0.49 1.12 0
571614 -0.59 0.49 1.12 0
571618 -0.59 0.49 1.12 0
571622 -0.59 0.49 1.12 0
571625 -0.59 0.49 1.03 0
571629 -0.68 0.68 1.03 0
571633 -0.68 0.68 1.03 0
571636 -0.68 0.68 1.03 0
571640 -0.68 0.68 1.03 0
571644 -0.68 0.68 0.93 0
571648 -0.83 0.59 0.93 0
571651 -0.83 0.59 0.93 0
571655 -0.83 0.59 0.93 0
571659 -0.83 0.59 0.93 0
571663 -0.83 0.59 1.07 0
571666 -0.83 0.44 1.07 0
571670 -0.83 0.44 1.07 0
571674 -0.83 0.44 1.07 0
571678 -0.83 0.44 1.07 0
571681 -0.83 0.44 1.07 0
571767 -0.68 0.68 0.93 0
571771 -0.68 0.68 0.93 0
571775 -0.68 0.68 0.93 0
571778 -0.64 0.54 0.98 0
571782 -0.64 0.54 0.98 0
571786 -0.64 0.54 0.98 0
571790 -0.64 0.54 0.98 0
571794 -0.64 0.54 0.98 0
571798 -0.44 0.59 1.12 0
571802 -0.44 0.59 1.12 0
571806 -0.44 0.59 1.12 0
571809 -0.44 0.59 1.12 0
571813 -0.44 0.59 1.12 0
571817 -0.68 0.54 1.22 0
571821 -0.68 0.54 1.22 0
571825 -0.68 0.54 1.22 0
571829 -0.68 0.54 1.22 0
571832 -0.68 0.54 1.22 0
571836 -0.64 0.59 0.98 0
571840 -0.64 0.59 0.98 0
571844 -0.64 0.59 0.98 0
571848 -0.64 0.59 0.98 0
571851 -0.64 0.59 0.98 0
571855 -0.73 0.54 1.03 0
571859 -0.73 0.54 1.03 0
571863 -0.73 0.54 1.03 0
571867 -0.73 0.54 1.03 0
571870 -0.73 0.54 1.03 0
571874 -0.83 0.49 1.07 0
571878 -0.83 0.49 1.07 0
571882 -0.83 0.49 1.07 0
571886 -0.83 0.49 1.07 0
571890 -0.83 0.49 1.07 0
571893 -0.83 0.29 1.03 0
571898 -0.83 0.29 1.03 0
571902 -0.83 0.29 1.03 0
571906 -0.83 0.29 1.03 0
571910 -0.83 0.29 1.03 0
571914 -0.93 0.64 1.03 0
571917 -0.93 0.64 1.03 0
571921 -0.93 0.64 1.03 0
571925 -0.93 0.64 1.03 0
571929 -0.93 0.64 1.07 0
571933 -0.68 0.24 1.07 0
571937 -0.68 0.24 1.07 0
571940 -0.68 0.24 1.07 0
571944 -0.68 0.24 1.07 0
571948 -0.68 0.24 0.98 0
571952 -0.73 0.54 0.98 0
571956 -0.73 0.54 0.98 0
571960 -0.73 0.54 0.98 0
571963 -0.73 0.54 0.98 0
571967 -0.73 0.54 1.27 0
571971 -0.88 0.10 1.27 0
571975 -0.88 0.10 1.27 0
571979 -0.88 0.10 1.27 0
571983 -0.88 0.10 1.27 0
571986 -0.88 0.10 1.07 0
571990 -0.83 0.39 1.07 0
571994 -0.83 0.39 1.07 0
571997 -0.83 0.39 1.07 0
572001 -0.83 0.39 1.07 0
572005 -0.83 -0.39 1.22 0
572009 -0.93 -0.05 1.22 0
572013 -0.93 -0.05 1.22 0
572017 -0.93 -0.05 1.22 0
572020 -0.93 -0.05 1.22 0
572024 -0.93 0.73 1.12 0
572028 -1.07 0.15 1.12 0
572032 -1.07 0.15 1.12 0
572036 -1.07 0.15 1.12 0
572039 -1.07 0.15 1.12 0
572043 -1.07 0.15 1.07 0
572047 -1.32 0.15 1.07 0
572051 -1.32 0.15 1.07 0
572108 -1.71 -0.05 1.17 0
572111 -1.71 -0.05 1.17 0
572115 -1.71 -0.05 1.17 0
572119 -1.71 -0.05 1.47 0
572123 -1.66 -0.15 1.47 0
572127 -1.66 -0.15 1.47 0
572131 -1.66 -0.15 1.47 0
572148 -2.00 -0.29 1.27 0
572152 -2.00 -0.29 1.27 0
572156 -2.00 -0.29 1.37 0
572162 -1.86 -0.49 1.37 0
572165 -1.86 -0.49 1.37 0
572169 -1.86 -0.49 1.37 0
572173 -1.86 -0.49 1.37 0
572177 -1.61 -0.54 1.61 0
572181 -1.61 -0.54 1.61 0
572186 -1.61 -0.54 1.61 0
572189 -1.61 -0.54 1.61 0
572193 -1.61 -0.54 0.83 0
572197 -1.47 -0.44 1.07 0
572201 -1.47 -0.44 1.07 0
572205 -1.47 -0.44 1.07 0
572209 -1.47 -0.44 1.07 0
572213 -1.47 -0.44 0.29 3286
572216 -0.20 0.78 0.54 3503
572220 -0.20 0.78 0.54 3889
572224 -0.20 0.78 0.54 4095
572228 -0.20 0.78 0.54 4095
572232 -0.20 0.78 -7.28 4095
572235 4.45 5.67 -7.18 4095
572239 4.45 5.67 -7.18 4095
572243 4.45 5.67 -7.18 4095
572247 4.45 5.67 -7.18 4095
572251 4.45 5.67 -2.49 4095
572255 4.45 4.15 -2.83 4095
572258 4.45 4.15 -2.83 4095
572262 4.45 4.15 -2.83 4095
572266 4.45 4.15 -2.83 4095
572270 4.45 4.15 3.42 4095
572273 1.61 -3.91 3.13 4095
572277 1.61 -3.91 3.13 4095
572281 1.61 -3.91 3.13 4095
572284 1.61 -3.91 3.13 4095
572288 1.61 -3.91 3.13 4095
572292 0.54 -0.88 2.25 4095
572296 0.54 -0.88 2.25 4095
572299 0.54 -0.88 2.25 3981
572303 0.54 -0.88 2.25 4067
572307 0.54 -0.88 2.25 4038
572311 -0.98 1.32 -0.44 4004
572314 -0.98 1.32 -0.44 3957
572337 -0.15 1.12 -0.73 3061
572341 -0.15 1.12 -0.73 2487
572345 -0.15 1.12 -0.73 1863
572349 0.10 -0.24 0.88 1517
572353 0.10 -0.24 0.88 1329
572356 0.10 -0.24 0.88 1037
572360 0.10 -0.24 0.88 830
572364 0.10 -0.24 0.88 825
572367 0.10 0.15 0.64 532
572371 0.10 0.15 0.64 459
572375 0.10 0.15 0.64 373
572379 0.10 0.15 0.64 384
572382 0.10 0.15 0.64 277
572386 -0.24 0.73 0.10 305
572390 -0.24 0.73 0.10 282
572394 -0.24 0.73 0.10 442
572412 -0.05 1.42 0.20 327
572415 -0.05 1.42 0.20 288
572455 -0.24 1.17 0.29 261
572459 -0.24 1.17 1.07 235
572463 -0.10 0.88 0.83 255
572467 -0.10 0.88 0.83 243
572471 -0.10 0.88 0.83 197
572475 -0.10 0.88 0.83 135
572479 -0.10 0.88 0.29 147
572483 -0.24 0.98 0.29 162
572487 -0.24 0.98 0.29 105
572491 -0.24 0.98 0.29 80
572494 -0.24 0.98 0.29 43
572498 -0.24 0.98 0.83 26
572502 -0.24 0.98 0.83 11
572506 -0.24 0.98 0.83 2
572510 -0.24 0.98 0.83 1
572514 -0.24 0.98 0.83 0
572517 -0.24 0.98 0.98 0
572521 -0.39 0.68 0.98 0
572525 -0.39 0.68 0.98 0
572529 -0.39 0.68 0.98 0
572533 -0.39 0.68 0.98 0
572537 -0.39 0.68 1.27 0
572540 -0.44 0.68 1.27 0
572545 -0.44 0.68 1.27 0
572548 -0.44 0.68 1.27 0
572552 -0.44 0.68 1.27 0
572556 -0.44 0.68 1.07 0
572560 -0.29 0.68 1.07 0
572564 -0.29 0.68 1.07 0
572567 -0.29 0.68 1.07 0
572571 -0.29 0.68 1.07 0
572575 -0.29 0.68 1.42 0
572579 -0.68 0.68 1.42 0
572583 -0.68 0.68 1.42 0
572587 -0.68 0.68 1.42 0
572590 -0.68 0.68 1.42 0
572594 -0.39 0.68 1.22 0
572598 -0.39 0.68 1.22 0
572602 -0.39 0.68 1.22 0
572606 -0.39 0.68 1.22 0
572610 -0.39 0.68 1.22 0
572614 -0.68 0.73 1.17 0
572617 -0.68 0.73 1.17 0
572621 -0.68 0.73 1.17 0
572625 -0.68 0.73 1.17 0
572629 -0.68 0.73 1.17 0
572633 -0.88 0.93 1.32 0
572636 -0.88 0.93 1.32 0
572640 -0.88 0.93 1.32 0
572644 -0.88 0.93 1.32 0
572648 -0.88 0.93 1.32 0
572651 -0.88 0.73 1.56 0
572655 -1.03 0.73 1.56 0
572659 -1.03 0.73 1.56 0
572662 -1.03 0.73 1.56 0
572666 -1.03 0.73 1.56 0
572670 -1.03 0.73 1.61 0
572674 -0.88 0.73 1.61 0
572678 -0.88 0.73 1.61 0
572682 -0.88 0.73 1.61 0
572686 -0.88 0.73 1.61 0
572690 -0.93 0.49 1.32 0
572693 -0.93 0.49 1.32 0
572697 -0.93 0.49 1.32 0
572701 -0.93 0.49 1.32 0
572705 -0.93 0.49 1.32 0
572709 -0.93 0.39 1.56 0
572713 -0.93 0.39 1.56 0
572716 -0.93 0.39 1.56 0
572720 -0.93 0.39 1.56 0
572724 -0.93 0.39 1.56 0
572728 -1.07 0.49 1.61 0
572731 -1.07 0.49 1.61 0
572735 -1.07 0.49 1.61 0
572739 -1.07 0.49 1.61 0
572743 -1.07 0.49 1.61 0
572747 -1.07 0.24 1.47 0
572750 -1.07 0.24 1.47 0
572754 -1.07 0.24 1.47 0
572758 -1.07 0.24 1.47 0
572762 -1.07 0.24 1.47 0
572765 -0.88 0.39 1.56 0
