"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"1.15,1.19,-9.75,-0.00,-0.01,0.02"
"343285,1.19,1.22,-9.74,-0.01,-0.00,0.02"
"343289,1.16,1.11,-9.74,-0.00,-0.00,0.02"
"343295,1.19,1.23,-9.75,-0.00,-0.01,0.02"
"343299,1.19,1.23,-9.82,-0.00,-0.01,0.02"
"343303,1.15,1.14,-9.79,-0.00,-0.01,0.02"
"343309,1.25,1.18,-9.76,-0.00,-0.01,0.02"
"343315,1.17,1.18,-9.77,-0.00,-0.01,0.02"
"343319,1.15,1.20,-9.76,-0.00,-0.01,0.02"
"343323,1.22,1.19,-9.80,-0.00,-0.00,0.02"
"343327,1.23,1.17,-9.79,-0.01,-0.01,0.02"
"343331,1.21,1.16,-9.81,-0.00,-0.00,0.02"
"343334,1.20,1.14,-9.77,-0.01,-0.01,0.02"
"343338,1.24,1.16,-9.75,-0.01,-0.00,0.02"
"343342,1.23,1.23,-9.75,-0.01,-0.01,0.02"
"343346,1.21,1.21,-9.74,-0.00,-0.01,0.02"
"343350,1.12,1.17,-9.84,-0.01,-0.01,0.02"
"343353,1.19,1.15,-9.82,-0.01,-0.01,0.02"
"343357,1.25,1.19,-9.79,-0.01,-0.01,0.02"
"343361,1.17,1.14,-9.81,-0.00,-0.01,0.01"
"343875,1.23,1.12,-9.83,-0.00,-0.02,-0.00"
"343879,1.22,1.13,-9.83,0.00,-0.02,-0.00"
"343883,1.17,1.15,-9.76,0.00,-0.02,-0.00"
"343887,1.21,1.13,-9.73,0.00,-0.02,-0.00"
"343891,1.21,1.11,-9.86,0.00,-0.02,0.00"
"343894,1.17,1.23,-9.71,0.01,-0.02,-0.00"
"344217,1.21,1.14,-9.80,0.02,-0.02,-0.01"
"344220,1.13,1.20,-9.79,0.01,-0.02,-0.01"
"344224,1.23,1.21,-9.82,0.01,-0.02,-0.01"
"344228,1.26,1.20,-9.83,0.02,-0.02,-0.01"
"344232,1.13,1.22,-9.80,0.02,-0.02,-0.01"
"344236,1.23,1.06,-9.79,0.02,-0.02,-0.01"
"344241,1.27,1.17,-9.81,0.02,-0.02,-0.01"
"344360,1.12,1.18,-9.78,0.02,-0.02,-0.01"
"344365,1.21,1.13,-9.75,0.02,-0.02,-0.01"
"344369,1.16,1.10,-9.76,0.02,-0.02,-0.01"
"344373,1.17,1.13,-9.80,0.02,-0.02,-0.01"
"344377,1.30,1.22,-9.76,0.02,-0.02,-0.01"
"344382,1.22,1.19,-9.85,0.02,-0.02,-0.01"
"344386,1.25,1.22,-9.76,0.02,-0.01,-0.01"
"344390,1.27,1.18,-9.82,0.02,-0.02,-0.01"
"344394,1.14,1.15,-9.89,0.02,-0.02,-0.01"
"344398,1.22,1.16,-9.80,0.02,-0.02,-0.01"
"344410,1.23,1.21,-9.80,0.02,-0.01,-0.01"
"344413,1.27,1.11,-9.80,0.03,-0.02,-0.01"
"344417,1.23,1.16,-9.86,0.03,-0.02,-0.01"
"344421,1.23,1.14,-9.78,0.02,-0.02,-0.01"
"344425,1.17,1.10,-9.78,0.02,-0.02,-0.01"
"344429,1.23,1.13,-9.84,0.03,-0.02,-0.01"
"344434,1.25,1.13,-9.77,0.02,-0.01,-0.01"
"344438,1.22,1.17,-9.76,0.02,-0.01,-0.01"
