millis,a_x, a_y, a_z, g_x, g_y, g_z
795289,0.76,1.45,-9.91,0.06,-0.01,-0.02
795295,0.9,1.34,-9.91,0.06,-0.01,-0.02
795300,0.86,1.38,-9.91,0.06,-0.01,-0.02
795306,0.88,1.34,-9.99,0.05,-0.01,-0.01
795311,0.79,1.36,-9.93,0.06,-0.01,-0.01
795315,0.74,1.32,-9.8,0.06,-0.01,-0.01
795320,0.83,1.37,-9.85,0.05,-0.01,-0.02
795325,0.81,1.34,-9.83,0.05,-0.01,-0.02
795330,0.87,1.28,-9.74,0.06,-0.01,-0.02
795335,0.89,1.32,-9.66,0.05,-0.01,-0.02
795339,0.85,1.34,-9.64,0.05,-0.01,-0.01
795344,0.84,1.36,-9.67,0.05,-0.01,-0.01
795348,0.85,1.33,-9.69,0.05,-0.01,-0.02
795353,0.9,1.37,-9.75,0.05,-0.01,-0.02
795358,0.85,1.35,-9.75,0.05,-0.01,-0.01
795362,0.81,1.41,-9.68,0.05,-0.01,-0.01
795366,0.9,1.42,-9.72,0.05,-0.01,-0.01
795371,0.96,1.44,-9.77,0.05,-0.01,-0.02
795378,0.94,1.42,-9.79,0.05,-0.01,-0.01
795382,0.89,1.41,-9.74,0.05,-0.01,-0.01
795387,0.98,1.45,-9.96,0.05,-0.01,-0.01
795405,0.95,1.38,-9.82,0.05,0,-0.01
795410,0.93,1.36,-9.74,0.05,0,-0.01
795545,0.89,1.4,-9.73,0.05,0,-0.01
795558,0.84,1.41,-9.76,0.05,0,-0.01
795563,0.82,1.37,-9.81,0.04,0,-0.01
795567,0.88,1.4,-9.76,0.04,0.01,-0.01
795571,0.83,1.28,-9.9,0.04,0,-0.01
795576,0.92,1.36,-9.78,0.04,0,-0.01
795580,0.78,1.35,-9.84,0.04,0,-0.01
795586,0.79,1.4,-9.85,0.04,0,-0.01
795590,0.78,1.27,-9.79,0.05,0,-0.01
795594,0.79,1.33,-9.84,0.05,0,-0.01
795599,0.78,1.26,-9.84,0.04,0,-0.01
795604,0.81,1.35,-9.74,0.05,0,-0.01
795611,0.78,1.4,-9.77,0.04,0,-0.01
795616,0.79,1.33,-9.65,0.04,0,-0.01
795622,0.77,1.36,-9.76,0.04,0,-0.01
795626,0.75,1.29,-9.66,0.04,0,-0.01
795636,0.84,1.28,-9.77,0.04,-0.01,-0.01
795646,0.89,1.3,-9.73,0.04,0,-0.01
795652,0.89,1.32,-9.75,0.04,0,-0.01
795657,0.87,1.43,-9.76,0.04,0,-0.01
795662,0.78,1.31,-9.77,0.04,0,0
795666,0.86,1.31,-9.78,0.04,0,0
795672,0.81,1.4,-9.79,0.04,0,-0.01
795677,0.8,1.45,-9.8,0.04,-0.01,0
795683,0.9,1.35,-9.77,0.04,0,-0.01
795690,0.91,1.29,-9.75,0.04,0,-0.01
795694,0.89,1.4,-9.88,0.04,-0.01,0
795699,0.85,1.34,-9.76,0.04,-0.01,0
795703,0.93,1.42,-9.83,0.04,0,0
795708,0.91,1.45,-9.8,0.04,0,-0.01
795715,1,1.45,-9.75,0.04,0,0
795721,1.02,1.42,-9.8,0.04,0,0
795726,1.04,1.37,-9.75,0.04,0,0
795731,0.95,1.32,-9.72,0.04,0,0
795737,0.92,1.45,-9.75,0.04,0,0
795741,0.92,1.33,-9.71,0.03,0,0
795746,0.96,1.41,-9.73,0.04,0,0
795752,0.94,1.4,-9.7,0.03,0,0
795757,1.02,1.44,-9.73,0.03,0,0
795761,0.96,1.35,-9.67,0.03,0.01,0
795766,0.95,1.29,-9.73,0.03,0,0
795770,0.97,1.35,-9.82,0.03,0,0
795775,0.97,1.37,-9.73,0.03,0.01,0
795782,0.96,1.38,-9.82,0.03,0.01,0
795786,0.99,1.36,-9.84,0.03,0.01,0
795791,0.9,1.34,-9.85,0.03,0.01,0
795795,0.91,1.45,-9.77,0.03,0.01,0
795799,0.89,1.4,-9.76,0.03,0.01,0
795804,0.87,1.41,-9.82,0.03,0.01,0
795808,0.82,1.44,-9.77,0.03,0.01,0
795812,0.83,1.36,-9.8,0.03,0.01,0
795817,0.84,1.44,-9.72,0.03,0.01,0
795821,0.88,1.41,-9.81,0.03,0.01,0
795825,0.81,1.4,-9.8,0.03,0.01,0
795830,0.81,1.4,-9.78,0.03,0.01,0
795834,0.82,1.43,-9.73,0.03,0.01,0
795839,0.85,1.45,-9.69,0.03,0.01,0
795843,0.89,1.4,-9.73,0.02,0.01,0
795847,0.86,1.41,-9.66,0.03,0.01,0
795852,0.84,1.41,-9.67,0.03,0.01,0
795873,0.85,1.44,-9.78,0.02,0.01,0
795882,0.86,1.35,-9.81,0.02,0.01,0
795887,0.81,1.39,-9.75,0.02,0.01,0
795892,0.87,1.38,-9.78,0.02,0.01,0
795897,0.89,1.43,-9.83,0.02,0.01,0
795901,0.77,1.44,-9.8,0.02,0.01,0
795909,0.82,1.39,-9.82,0.02,0.01,0
795913,0.81,1.39,-9.7,0.02,0.01,0
795919,0.79,1.39,-9.74,0.02,0.01,0
795923,0.77,1.34,-9.76,0.02,0,0
795927,0.82,1.35,-9.71,0.02,0,0
795934,0.74,1.4,-9.74,0.02,0,0
795939,0.81,1.39,-9.74,0.02,0,0
795943,0.79,1.28,-9.74,0.02,0,0.01
795948,0.81,1.33,-9.73,0.02,0,0.01
795952,0.75,1.39,-9.81,0.02,0,0
795957,0.78,1.33,-9.76,0.02,0,0.01
795961,0.81,1.32,-9.77,0.02,0,0.01
795966,0.83,1.43,-9.77,0.02,0,0
795970,0.88,1.37,-9.76,0.02,0,0.01
795974,0.78,1.44,-9.8,0.02,0,0.01
795979,0.9,1.41,-9.8,0.02,0,0.01
795983,0.85,1.4,-9.82,0.02,0,0.01
795988,0.85,1.45,-9.76,0.01,0,0.01
795992,0.88,1.4,-9.72,0.01,0,0.01
795996,0.93,1.41,-9.73,0.01,0,0.01
796001,0.85,1.37,-9.72,0.01,0,0.01
796005,0.81,1.37,-9.68,0.01,0,0.01
796009,0.81,1.46,-9.71,0.01,0,0.01
796014,0.87,1.33,-9.8,0.01,0,0.01
796018,0.91,1.44,-9.78,0.01,0,0.01
796023,0.82,1.3,-9.74,0.01,0,0.01
796027,0.82,1.4,-9.75,0.01,0,0.01
796032,0.84,1.39,-9.72,0.01,0,0.01
796036,0.85,1.42,-9.72,0.01,0,0.01
796041,0.93,1.38,-9.77,0.01,0,0.01
796045,0.91,1.36,-9.78,0.01,0,0.01
796049,0.86,1.41,-9.76,0.01,0,0.01
796078,0.95,1.39,-9.81,0.01,0,0.01
796088,0.93,1.37,-9.77,0.01,0.01,0.01
796093,0.93,1.38,-9.76,0.01,0,0.01
796098,0.88,1.39,-9.8,0,0.01,0.01
796103,0.88,1.35,-9.82,0,0,0.01
796108,0.8,1.33,-9.68,0.01,0,0.01
796113,1.01,1.34,-9.74,0,0.01,0.01
796118,0.91,1.44,-9.7,0,0,0.01
796123,0.87,1.41,-9.73,0,0.01,0.01
796127,0.78,1.45,-9.79,0,0.01,0.01
796131,0.89,1.4,-9.8,0,0.01,0.01
796136,0.87,1.45,-9.78,0,0.01,0.01
796140,0.86,1.42,-9.78,0,0.01,0.01
796146,0.89,1.41,-9.81,0,0.01,0.01
796150,0.85,1.43,-9.8,0,0.01,0.01
796155,0.87,1.42,-9.77,0,0,0.01
796160,0.87,1.39,-9.81,0,0.01,0.01
796165,0.96,1.4,-9.86,0,0.01,0.01
796170,0.87,1.38,-9.77,0,0.01,0.01
796174,0.88,1.47,-9.8,0,0.01,0.01
796179,0.94,1.38,-9.83,0,0.01,0.02
796183,0.9,1.38,-9.78,0,0.01,0.01
796187,0.85,1.33,-9.75,0,0.01,0.01
796192,0.91,1.44,-9.74,0,0.01,0.01
796196,0.91,1.36,-9.79,0,0.01,0.01
796201,0.89,1.3,-9.74,0,0.01,0.02
796205,0.92,1.42,-9.7,0,0.01,0.02
796209,0.79,1.4,-9.77,0,0.01,0.02
796214,0.86,1.35,-9.75,0,0.01,0.01
796218,0.79,1.31,-9.77,0,0.01,0.01
796223,0.82,1.36,-9.76,0,0.01,0.02
796227,0.82,1.38,-9.83,0,0.01,0.01
796231,0.78,1.41,-9.74,0,0.01,0.01
796238,0.9,1.4,-9.77,-0.01,0.01,0.02
796242,0.85,1.4,-9.88,-0.01,0.01,0.02
796256,0.82,1.36,-9.9,-0.01,0,0.01
796261,0.83,1.37,-9.78,-0.01,0,0.02
796267,0.96,1.43,-9.77,-0.01,0,0.02
796272,0.87,1.41,-9.75,-0.01,0,0.02
796276,0.81,1.47,-9.76,-0.01,0,0.02
796281,0.79,1.42,-9.82,-0.01,0,0.02
796286,0.72,1.41,-9.75,-0.01,0,0.02
796290,0.86,1.42,-9.77,-0.01,0,0.02
796294,0.83,1.46,-9.75,-0.01,0,0.02
796299,0.78,1.4,-9.81,-0.01,0,0.02
796303,0.78,1.38,-9.73,-0.01,0,0.02
796308,0.81,1.39,-9.75,-0.01,0,0.02
796312,0.79,1.41,-9.75,-0.01,0,0.02
796316,0.85,1.38,-9.76,-0.01,0,0.02
796321,0.79,1.42,-9.85,-0.01,0,0.02
796325,0.8,1.34,-9.75,-0.01,0,0.02
796330,0.79,1.45,-9.82,-0.01,0,0.02
796335,0.8,1.4,-9.73,-0.01,0,0.02
796340,0.81,1.3,-9.74,-0.01,0,0.02
796344,0.78,1.41,-9.78,-0.01,0,0.02
796349,0.8,1.31,-9.81,-0.02,0,0.02
796398,0.76,1.36,-9.79,-0.02,-0.01,0.02
796403,0.8,1.45,-9.75,-0.02,0,0.02
796408,0.91,1.38,-9.77,-0.02,-0.01,0.02
796412,0.85,1.39,-9.8,-0.02,0,0.02
796417,0.88,1.4,-9.79,-0.01,0,0.02
796422,0.77,1.39,-9.75,-0.02,0,0.02
796427,0.94,1.41,-9.8,-0.02,0,0.02
796432,0.92,1.31,-9.81,-0.02,0,0.02
796436,0.89,1.38,-9.78,-0.02,0,0.02
796442,0.89,1.37,-9.79,-0.02,0,0.02
796446,0.92,1.38,-9.81,-0.02,-0.01,0.02
796452,0.94,1.28,-9.82,-0.02,-0.01,0.02
796457,0.9,1.41,-9.76,-0.02,-0.01,0.02
796461,0.86,1.42,-9.82,-0.02,0,0.02
796467,0.91,1.35,-9.77,-0.02,0,0.02
796473,0.96,1.44,-9.69,-0.02,0,0.02
796479,1,1.4,-9.78,-0.02,0,0.02
796484,0.86,1.31,-9.75,-0.02,0,0.02
796489,0.89,1.39,-9.77,-0.02,0,0.02
796494,0.95,1.33,-9.8,-0.02,0,0.02
796498,0.93,1.31,-9.72,-0.02,0,0.02
796504,0.93,1.41,-9.72,-0.02,0,0.02
796508,0.9,1.31,-9.72,-0.02,0,0.02
796514,0.95,1.34,-9.77,-0.02,0,0.02
796519,0.94,1.31,-9.81,-0.02,0,0.02
796524,0.9,1.32,-9.74,-0.02,0,0.02
796528,0.92,1.29,-9.78,-0.02,0,0.02
796533,0.96,1.35,-9.72,-0.02,0,0.02
796538,0.93,1.38,-9.73,-0.02,0,0.02
796542,0.94,1.33,-9.85,-0.02,0,0.02
796546,0.9,1.32,-9.74,-0.02,0,0.02
796551,0.83,1.28,-9.78,-0.02,0,0.02
796555,0.9,1.37,-9.71,-0.02,0,0.02
796560,0.86,1.34,-9.84,-0.02,0,0.02
796564,0.9,1.34,-9.72,-0.03,0,0.02
796568,0.88,1.39,-9.74,-0.02,0,0.02
796573,0.86,1.39,-9.74,-0.02,0,0.02
796577,0.85,1.35,-9.76,-0.02,0,0.02
796581,0.79,1.34,-9.73,-0.02,0,0.02
796586,0.72,1.37,-9.72,-0.02,0,0.02
796592,0.79,1.38,-9.78,-0.02,0,0.02
796600,0.78,1.32,-9.79,-0.02,0,0.02
796604,0.81,1.29,-9.83,-0.02,0,0.02
796609,0.85,1.38,-9.71,-0.02,0,0.02
796614,0.85,1.4,-9.77,-0.02,0,0.02
796619,0.78,1.37,-9.77,-0.02,0,0.02
796624,0.81,1.31,-9.74,-0.02,0,0.02
796629,0.78,1.38,-9.81,-0.02,0,0.02
796634,0.78,1.44,-9.82,-0.02,0,0.02
796638,0.71,1.41,-9.85,-0.02,-0.01,0.02
796643,0.82,1.3,-9.8,-0.02,-0.01,0.02
796687,0.8,1.31,-9.79,-0.02,-0.01,0.02
796692,0.78,1.28,-9.82,-0.02,-0.01,0.02
796696,0.74,1.35,-9.64,-0.02,-0.01,0.02
796702,0.89,1.34,-9.79,-0.02,-0.01,0.02
796706,0.86,1.4,-9.77,-0.02,-0.01,0.02
796712,0.76,1.29,-9.76,-0.02,-0.02,0.02
796716,0.82,1.36,-9.82,-0.02,-0.01,0.02
796722,0.92,1.32,-9.8,-0.02,-0.02,0.02
796726,0.84,1.38,-9.75,-0.02,-0.02,0.02
796732,0.9,1.3,-9.87,-0.02,-0.02,0.02
796736,0.81,1.3,-9.84,-0.02,-0.02,0.02
796742,0.79,1.41,-9.78,-0.02,-0.02,0.02
796746,0.91,1.35,-9.81,-0.02,-0.02,0.02
796752,0.88,1.31,-9.84,-0.02,-0.01,0.02
796756,0.9,1.33,-9.73,-0.02,-0.02,0.02
796762,0.95,1.37,-9.86,-0.03,-0.02,0.02
796766,0.96,1.34,-9.73,-0.02,-0.02,0.02
796772,0.87,1.31,-9.85,-0.02,-0.01,0.02
796776,0.91,1.26,-9.71,-0.02,-0.01,0.02
796781,0.95,1.34,-9.76,-0.02,-0.02,0.02
796786,0.85,1.37,-9.84,-0.03,-0.01,0.02
796790,0.96,1.3,-9.81,-0.03,-0.01,0.02
796796,0.91,1.25,-9.85,-0.03,-0.01,0.02
796800,0.87,1.28,-9.76,-0.03,-0.01,0.02
796805,0.93,1.32,-9.78,-0.02,-0.01,0.02
796810,0.96,1.34,-9.8,-0.02,-0.01,0.02
796815,0.84,1.31,-9.82,-0.03,-0.01,0.02
796819,0.93,1.32,-9.83,-0.02,-0.01,0.02
796824,0.99,1.31,-9.83,-0.02,-0.01,0.02
796829,0.93,1.29,-9.75,-0.02,-0.01,0.02
796834,0.96,1.29,-9.79,-0.02,-0.01,0.02
796839,0.86,1.3,-9.84,-0.02,-0.01,0.02
796843,0.89,1.31,-9.82,-0.02,-0.01,0.02
796849,0.95,1.3,-9.77,-0.02,-0.01,0.02
796853,0.97,1.33,-9.82,-0.02,-0.01,0.02
796858,0.91,1.34,-9.75,-0.02,-0.01,0.02
796864,0.88,1.23,-9.79,-0.02,-0.01,0.02
796868,0.89,1.23,-9.78,-0.02,-0.01,0.02
796873,0.82,1.25,-9.76,-0.02,-0.01,0.01
796878,0.93,1.35,-9.8,-0.02,-0.01,0.02
796883,0.94,1.31,-9.77,-0.02,-0.01,0.01
796888,0.85,1.44,-9.82,-0.02,-0.01,0.01
796894,0.79,1.31,-9.78,-0.02,-0.01,0.02
796898,0.8,1.35,-9.73,-0.02,-0.01,0.02
796904,0.87,1.27,-9.83,-0.02,-0.01,0.02
796908,0.76,1.3,-9.77,-0.02,-0.01,0.02
796913,0.84,1.28,-9.77,-0.02,-0.01,0.02
796917,0.82,1.25,-9.79,-0.02,-0.01,0.02
796922,0.8,1.34,-9.79,-0.01,-0.01,0.01
796927,0.87,1.35,-9.73,-0.02,-0.01,0.01
796931,0.85,1.3,-9.79,-0.02,-0.01,0.01
796936,0.86,1.25,-9.79,-0.02,-0.01,0.01
796940,0.87,1.27,-9.8,-0.02,-0.01,0.01
796948,0.82,1.36,-9.81,-0.01,-0.01,0.01
796953,0.81,1.28,-9.8,-0.01,-0.01,0.01
796958,0.81,1.3,-9.77,-0.02,-0.01,0.01
796963,0.87,1.33,-9.82,-0.02,-0.01,0.01
796968,0.79,1.25,-9.78,-0.01,-0.01,0.01
796973,0.88,1.23,-9.79,-0.01,-0.02,0.01
796978,0.79,1.28,-9.73,-0.01,-0.01,0.01
796983,0.84,1.25,-9.82,-0.01,-0.02,0.01
796987,0.81,1.28,-9.72,-0.01,-0.01,0.01
796992,0.86,1.26,-9.82,-0.01,-0.02,0.01
796996,0.84,1.27,-9.76,-0.01,-0.02,0.01
797001,0.87,1.29,-9.82,-0.01,-0.02,0.01
797007,0.8,1.33,-9.82,-0.01,-0.02,0.01
797012,0.78,1.32,-9.74,-0.01,-0.02,0.01
797016,0.8,1.28,-9.8,-0.01,-0.02,0.01
797022,0.79,1.25,-9.86,-0.01,-0.02,0.01
797026,0.81,1.39,-9.82,-0.01,-0.02,0.01
797031,0.8,1.3,-9.8,-0.01,-0.02,0.01
797036,0.8,1.27,-9.75,-0.01,-0.02,0.01
797042,0.79,1.31,-9.8,-0.01,-0.02,0.01
797047,0.85,1.32,-9.77,-0.01,-0.02,0.01
797051,0.78,1.36,-9.78,-0.01,-0.02,0.01
797056,0.85,1.31,-9.75,-0.01,-0.02,0.01
797060,0.81,1.37,-9.83,-0.01,-0.02,0.01
797170,0.91,1.29,-9.69,-0.01,-0.02,0
797175,0.86,1.33,-9.79,0,-0.02,0
797179,0.85,1.34,-9.74,0,-0.02,0
797184,0.96,1.26,-9.81,0,-0.02,0
797188,0.98,1.32,-9.82,0,-0.02,0
797193,0.85,1.35,-9.8,0,-0.02,0
797197,0.95,1.25,-9.77,0,-0.02,0
797806,0.92,1.32,-9.74,0.05,-0.02,-0.02
797812,0.85,1.3,-9.82,0.05,-0.02,-0.02
797816,0.93,1.32,-9.81,0.05,-0.02,-0.02
797821,0.87,1.34,-9.81,0.05,-0.02,-0.02
797825,0.99,1.33,-9.83,0.05,-0.02,-0.02
797830,0.85,1.39,-9.74,0.05,-0.02,-0.02
797834,0.92,1.33,-9.76,0.05,-0.02,-0.02
