millis,a_x,a_y,a_z,f
34,0.83,1.12,0,
812116,0.34,0.83,1.12,0
812120,0.29,1.03,0.98,0
812125,0.29,1.03,0.98,0
812129,0.29,1.03,0.98,0
812187,0.24,0.98,1.12,0
812191,0.24,0.98,1.12,0
812195,0.24,0.98,1.22,0
812199,0.24,0.83,1.22,0
812204,0.24,0.83,1.22,0
812208,0.24,0.83,1.22,0
812212,0.24,0.83,1.22,0
812216,0.2,0.93,1.37,0
812220,0.2,0.93,1.37,0
812224,0.2,0.93,1.37,0
812229,0.2,0.93,1.37,0
812233,0.2,0.93,1.12,0
812237,0,1.17,1.12,0
812241,0,1.17,1.12,0
812245,0,1.17,1.12,0
812278,0.15,0.93,1.27,0
812282,0.15,0.93,1.27,0
812286,0.15,0.93,1.27,0
812290,0.15,0.93,1.37,0
812295,0.2,0.93,1.37,0
812299,0.2,0.93,1.37,0
812303,0.2,0.93,1.37,0
812307,0.2,0.93,1.37,0
812312,0.29,0.83,1.27,0
812316,0.29,0.83,1.27,0
812320,0.29,0.83,1.27,0
812325,0.29,0.83,1.27,0
812329,0.29,0.73,1.37,0
812333,0.2,0.73,1.37,0
812337,0.2,0.73,1.37,0
812342,0.2,0.73,1.37,0
812346,0.2,0.73,2.15,0
812350,0.24,1.03,1.56,0
812355,0.24,1.03,1.56,0
812359,0.24,1.03,1.56,0
812363,0.24,1.03,1.56,0
812367,0.24,0.88,1.17,0
812372,0.24,0.88,1.17,0
812376,0.24,0.88,1.17,0
812380,0.24,0.88,1.17,0
812384,0.24,0.88,1.22,0
812389,0.05,1.12,1.22,0
812393,0.05,1.12,1.22,0
812397,0.05,1.12,1.22,0
812401,0.05,1.12,1.22,0
812405,0.24,1.07,1.27,0
812410,0.24,1.07,1.27,0
812414,0.24,1.07,1.27,0
812418,0.24,1.07,1.27,0
812422,0.24,1.07,1.47,0
812426,0.24,1.03,1.47,0
812431,0.24,1.03,1.47,0
812435,0.24,1.03,1.47,0
812439,0.24,1.03,1.47,0
812443,0.2,1.17,1.07,0
812448,0.2,1.17,1.07,0
812452,0.2,1.17,1.07,0
812456,0.2,1.17,1.07,0
812460,0.2,1.17,1.32,0
812465,0.34,1.03,1.32,0
812469,0.34,1.03,1.32,0
812473,0.34,1.03,1.32,0
812477,0.34,1.03,1.32,0
812482,0.34,1.07,1.27,0
812486,0.34,1.07,1.27,0
812490,0.34,1.07,1.27,0
812494,0.34,1.07,1.27,0
812498,0.34,1.07,1.56,0
812503,0.24,1.03,1.56,0
812507,0.24,1.03,1.56,0
812515,0.24,1.03,1.56,0
812519,0.44,1.27,1.12,0
812524,0.44,1.27,1.12,0
812528,0.44,1.27,1.12,0
812532,0.44,1.27,1.12,0
812536,0.44,1.27,1.32,0
812541,0.29,1.07,1.32,0
812545,0.29,1.07,1.32,0
812549,0.29,1.07,1.32,0
812553,0.29,1.07,1.32,0
812558,0.24,1.03,1.27,0
812562,0.24,1.03,1.27,0
