millis, a_x, a_y, a_z, g_x, g_y, g_z
498251,0.79,1.31,-9.71,0.02,0,0.01
498256,0.87,1.4,-9.8,0.02,0,0.01
498263,0.82,1.44,-9.83,0.02,0,0.01
498267,0.8,1.43,-9.84,0.02,0,0.02
498272,0.86,1.45,-9.74,0.02,0,0.01
498277,0.81,1.36,-9.73,0.02,0,0.01
498281,0.88,1.29,-9.75,0.02,0,0.01
498286,0.94,1.43,-9.78,0.02,0,0.01
498290,0.79,1.35,-9.8,0.02,0,0.01
498295,0.8,1.38,-9.8,0.02,0,0.01
498299,0.93,1.34,-9.77,0.02,0,0.01
498303,0.83,1.35,-9.79,0.02,0,0.01
498308,0.83,1.34,-9.78,0.02,0,0.01
498312,0.85,1.37,-9.78,0.02,0,0.01
498317,0.83,1.34,-9.75,0.02,0,0.01
498321,0.86,1.37,-9.72,0.02,0,0.01
498325,0.78,1.33,-9.74,0.02,0,0.01
498330,0.85,1.43,-9.71,0.02,0,0.01
498334,0.82,1.44,-9.73,0.02,0,0.01
498338,0.88,1.35,-9.8,0.02,0,0.01
498343,0.82,1.43,-9.75,0.02,0,0.01
498347,0.83,1.36,-9.77,0.02,0,0.01
498351,0.84,1.4,-9.73,0.02,0,0.01
498356,0.79,1.39,-9.77,0.02,0,0.01
498497,0.81,1.37,-9.8,0.01,0,0.01
498501,0.82,1.41,-9.7,0.02,0,0.01
498505,0.83,1.38,-9.85,0.01,0,0.01
498510,0.79,1.42,-9.72,0.01,0,0.01
498514,0.83,1.34,-9.8,0.02,0,0.01
498518,0.84,1.31,-9.78,0.02,0,0.01
498523,0.9,1.38,-9.71,0.02,0,0.01
498687,0.82,1.4,-9.78,0.01,-0.01,0.01
498691,0.82,1.4,-9.8,0.01,-0.01,0.01
498695,0.85,1.44,-9.75,0.01,-0.01,0.01
498700,0.82,1.35,-9.79,0.01,-0.01,0.01
498704,0.83,1.36,-9.76,0.01,-0.01,0.01
498709,0.85,1.3,-9.81,0.01,-0.01,0.01
498878,0.8,1.36,-9.76,0.01,-0.01,0.01
498883,0.88,1.38,-9.74,0.01,-0.01,0.01
498887,0.81,1.38,-9.71,0.01,-0.01,0.01
498891,0.85,1.38,-9.79,0.01,-0.01,0
498896,0.84,1.4,-9.83,0.01,-0.01,0
498906,0.82,1.4,-9.82,0.01,-0.01,0.01
498910,0.88,1.34,-9.84,0.01,-0.01,0
498914,0.85,1.39,-9.73,0.01,-0.01,0
499046,0.85,1.34,-9.81,0.01,-0.01,0
499051,0.82,1.42,-9.76,0.01,-0.01,0
499056,0.8,1.37,-9.79,0.01,-0.01,0
499063,0.87,1.4,-9.77,0.01,-0.01,0
