millis,a_x,a_y,a_z,f,,,
420649,-0.29,0.88,0.78,0,,,
420654,-0.29,0.88,0.78,0,,,
420658,-0.29,0.88,0.78,0,,,
420662,-0.44,0.73,1.03,0,,,
420667,-0.44,0.73,1.03,0,,,
420671,-0.44,0.73,1.03,0,,,
420675,-0.44,0.73,1.03,0,,,
420680,-0.44,0.93,0.98,0,,,
420684,-0.34,0.93,0.98,0,,,
420688,-0.34,0.93,0.98,0,,,
420693,-0.34,0.93,0.98,0,,,
420698,-0.34,0.93,0.98,0,,,
420702,-0.29,0.93,0.98,0,,,
420706,-0.29,0.93,0.98,0,,,
420711,-0.29,0.93,0.98,0,,,
420715,-0.29,0.93,0.98,0,,,
420719,-0.2,0.64,1.32,0,,,
420724,-0.2,0.64,1.32,0,,,
420728,-0.2,0.64,1.32,0,,,
420733,-0.2,0.64,1.32,0,,,
420737,-0.44,0.93,1.07,0,,,
420741,-0.44,0.93,1.07,0,,,
420746,-0.44,0.93,1.07,0,,,
420750,-0.44,0.93,1.07,0,,,
420754,-0.44,0.93,1.17,0,,,
420759,-0.15,0.88,1.17,0,,,
420763,-0.15,0.88,1.17,0,,,
420767,-0.15,0.88,1.17,0,,,
420772,-0.15,0.88,1.17,0,,,
420780,-0.2,1.03,1.03,0,,,
420785,-0.2,1.03,1.03,0,,,
420789,-0.2,1.03,1.03,0,,,
420793,-0.2,1.03,1.03,0,,,
420798,-0.24,0.93,1.03,0,,,
420802,-0.24,0.93,1.03,0,,,
420809,-0.24,0.93,1.03,0,,,
420814,-0.29,0.93,1.22,0,,,
420818,-0.29,0.93,1.22,0,,,
420822,-0.29,0.93,1.22,0,,,
420826,-0.29,0.93,1.22,0,,,
420831,-0.29,0.15,1.17,0,,,
420835,-0.29,0.73,1.17,0,,,
420839,-0.29,0.73,1.17,0,,,
420844,-0.29,0.73,1.17,0,,,
420848,-0.29,0.73,1.17,0,,,
420852,-0.49,0.83,0.68,0,,,
420856,-0.49,0.83,0.68,0,,,
420861,-0.49,0.83,0.68,0,,,
420865,-0.49,0.83,0.68,0,,,
420873,-0.39,0.83,1.07,0,,,
420878,-0.39,0.83,1.07,0,,,
420882,-0.39,0.83,1.07,0,,,
420886,-0.39,0.83,1.07,0,,,
420891,-0.39,0.83,0.98,0,,,
420895,-0.39,0.83,0.98,0,,,
420900,-0.39,0.83,0.98,0,,,
420904,-0.39,0.83,0.98,0,,,
420908,-0.29,0.88,1.17,0,,,
420913,-0.29,0.88,1.17,0,,,
420917,-0.29,0.88,1.17,0,,,
420922,-0.29,0.88,1.17,0,,,
420926,-0.29,0.1,1.17,0,,,
420930,-0.24,0.64,1.17,0,,,
420935,-0.24,0.64,1.17,0,,,
420939,-0.24,0.64,1.17,0,,,
420943,-0.24,0.64,1.17,0,,,
420948,-0.44,0.83,0.78,0,,,
420952,-0.44,0.83,0.78,0,,,
420956,-0.44,0.83,0.78,0,,,
420961,-0.44,0.83,0.78,0,,,
420965,-0.15,0.78,1.12,0,,,
420970,-0.15,0.78,1.12,0,,,
420974,-0.15,0.78,1.12,0,,,
420978,-0.15,0.78,1.12,0,,,
420983,-0.15,0.78,0.98,0,,,
420987,-0.29,1.03,0.98,0,,,
420991,-0.29,1.03,0.98,0,,,
420995,-0.29,1.03,0.98,0,,,
421000,-0.29,1.03,0.98,0,,,
421004,-0.49,0.93,0.93,0,,,
421008,-0.49,0.93,0.93,0,,,
421012,-0.49,0.93,0.93,0,,,
421017,-0.49,0.93,0.93,0,,,
421026,-0.1,0.83,1.22,0,,,
421033,-0.1,0.83,1.22,0,,,
421037,-0.1,0.83,1.22,0,,,
421042,-0.34,1.03,0.98,0,,,
421046,-0.34,1.03,0.98,0,,,
421050,-0.34,1.03,0.98,0,,,
421055,-0.34,1.03,0.98,0,,,
421059,-0.34,0.98,1.12,0,,,
421064,-0.44,0.98,1.12,0,,,
421068,-0.44,0.98,1.12,0,,,
421072,-0.44,0.98,1.12,0,,,
421077,-0.44,0.98,1.12,0,,,
421081,-0.2,0.78,0.93,0,,,
421085,-0.2,0.78,0.93,0,,,
421090,-0.2,0.78,0.93,0,,,
421094,-0.2,0.78,0.93,0,,,
421099,-0.34,0.88,0.98,0,,,
421103,-0.34,0.88,0.98,0,,,
421107,-0.34,0.88,0.98,0,,,
421112,-0.34,0.88,0.98,0,,,
421116,-0.34,0.88,1.17,0,,,
421120,-0.39,0.88,1.17,0,,,
421125,-0.39,0.88,1.17,0,,,
421129,-0.39,0.88,1.17,0,,,
421133,-0.39,0.88,1.17,0,,,
421138,-0.39,0.88,1.12,0,,,
421142,-0.39,0.88,1.12,0,,,
421146,-0.39,0.88,1.12,0,,,
421150,-0.39,0.88,1.12,0,,,
421155,-0.2,0.83,1.12,0,,,
421159,-0.2,0.83,1.12,0,,,
421163,-0.2,0.83,1.12,0,,,
421168,-0.2,0.83,1.12,0,,,
421176,-0.49,0.88,0.83,0,,,
421180,-0.49,0.88,0.83,0,,,
421184,-0.49,0.88,0.83,0,,,
421189,-0.49,0.88,0.83,0,,,
421193,-0.29,1.03,1.03,0,,,
421198,-0.29,1.03,1.03,0,,,
421202,-0.29,1.03,1.03,0,,,
421206,-0.29,1.03,1.03,0,,,
421210,-0.29,1.03,1.07,0,,,
421215,-0.29,0.93,1.07,0,,,
421219,-0.29,0.93,1.07,0,,,
421224,-0.29,0.93,1.07,0,,,
421228,-0.29,0.93,1.07,0,,,
421232,-0.34,0.68,1.37,0,,,
421237,-0.34,0.68,1.37,0,,,
421241,-0.34,0.68,1.37,0,,,
421245,-0.34,0.68,1.37,0,,,
421250,-0.29,0.78,1.17,0,,,
421254,-0.29,0.78,1.17,0,,,
421259,-0.29,0.78,1.17,0,,,
421263,-0.29,0.78,1.17,0,,,
421267,-0.29,0.78,0.88,0,,,
421272,-0.44,0.98,0.88,0,,,
421276,-0.44,0.98,0.88,0,,,
421280,-0.44,0.98,0.88,0,,,
421285,-0.44,0.98,0.88,0,,,
421289,-0.34,0.83,0.88,0,,,
421293,-0.34,0.83,0.88,0,,,
421298,-0.34,0.83,0.88,0,,,
421302,-0.34,0.83,0.88,0,,,
421306,-0.34,0.98,0.88,0,,,
421311,-0.54,0.98,0.88,0,,,
421315,-0.54,0.98,0.88,0,,,
421319,-0.54,0.98,0.88,0,,,
421324,-0.54,0.98,0.88,0,,,
421328,-0.34,0.64,1.12,0,,,
421332,-0.34,0.64,1.12,0,,,
421337,-0.34,0.64,1.12,0,,,
421341,-0.34,0.64,1.12,0,,,
421345,-0.54,0.98,0.83,0,,,
421350,-0.54,0.98,0.83,0,,,
421354,-0.54,0.98,0.83,0,,,
421358,-0.54,0.98,0.83,0,,,
421363,-0.54,0.98,1.07,0,,,
421367,-0.39,0.88,1.07,0,,,
421371,-0.39,0.88,1.07,0,,,
421376,-0.39,0.88,1.07,0,,,
421380,-0.39,0.88,1.07,0,,,
421384,-0.44,0.88,0.83,0,,,
421389,-0.44,0.88,0.83,0,,,
421393,-0.44,0.88,0.83,0,,,
421398,-0.44,0.88,0.83,0,,,
421402,-0.34,0.88,1.03,0,,,
421406,-0.34,0.88,1.03,0,,,
421410,-0.34,0.88,1.03,0,,,
421415,-0.34,0.88,1.03,0,,,
421419,-0.34,0.88,0.88,0,,,
421423,-0.39,0.93,0.88,0,,,
421428,-0.39,0.93,0.88,0,,,
421432,-0.39,0.93,0.88,0,,,
421436,-0.39,0.93,0.88,0,,,
421441,-0.39,0.68,1.07,0,,,
421445,-0.39,0.68,1.07,0,,,
421449,-0.39,0.68,1.07,0,,,
421454,-0.39,0.68,1.07,0,,,
421458,-0.39,0.78,1.03,0,,,
421463,-0.39,0.78,1.03,0,,,
421467,-0.39,0.78,1.03,0,,,
421471,-0.39,0.78,1.03,0,,,
421475,-0.39,0.78,1.03,0,,,
421480,-0.59,1.07,0.83,0,,,
421484,-0.59,1.07,0.83,0,,,
421488,-0.59,1.07,0.83,0,,,
421493,-0.59,1.07,0.83,0,,,
421497,-0.39,0.78,0.78,0,,,
421501,-0.39,0.78,0.78,0,,,
421505,-0.39,0.78,0.78,0,,,
421510,-0.39,0.78,0.78,0,,,
421514,-0.39,0.78,1.07,0,,,
421518,-0.34,0.78,1.07,0,,,
421523,-0.34,0.78,1.07,0,,,
421527,-0.34,0.78,1.07,0,,,
421531,-0.34,0.78,1.07,0,,,
421541,-0.44,0.88,1.12,0,,,
421545,-0.44,0.88,1.12,0,,,
421550,-0.44,0.88,1.12,0,,,
421554,-0.34,0.83,1.03,0,,,
421558,-0.34,0.83,1.03,0,,,
421563,-0.34,0.83,1.03,0,,,
421567,-0.34,0.83,1.03,0,,,
421572,-0.34,0.83,0.93,0,,,
421576,-0.29,1.17,0.93,0,,,
421580,-0.29,1.17,0.93,0,,,
421585,-0.29,1.17,0.93,0,,,
421589,-0.29,1.17,0.93,0,,,
421593,-0.24,0.98,1.47,0,,,
421597,-0.24,0.98,1.47,0,,,
421602,-0.24,0.98,1.47,0,,,
421606,-0.24,0.98,1.47,0,,,
421610,-0.24,1.17,0.78,0,,,
421615,-0.39,1.17,0.78,0,,,
421619,-0.39,1.17,0.78,0,,,
421623,-0.39,1.17,0.78,0,,,
421628,-0.39,1.17,0,0,,,
421632,-0.29,1.22,0.54,0,,,
421636,-0.29,1.22,0.54,0,,,
421640,-0.29,1.22,0.54,0,,,
421645,-0.29,1.22,0.54,0,,,
421649,-0.44,1.17,0.83,0,,,
421653,-0.44,1.17,0.83,0,,,
421658,-0.44,1.17,0.83,0,,,
421662,-0.44,1.17,0.83,0,,,
421666,-0.44,1.17,0.68,0,,,
421673,-0.44,0.93,0.68,0,,,
421678,-0.44,0.93,0.68,0,,,
421688,-0.44,1.03,0.93,0,,,
421692,-0.44,1.03,0.93,0,,,
421696,-0.44,1.03,0.93,0,,,
421701,-0.44,1.03,0.93,0,,,
421705,-0.44,1.17,0.93,0,,,
421709,-0.39,1.17,0.93,0,,,
421714,-0.39,1.17,0.93,0,,,
421718,-0.39,1.17,0.93,0,,,
421722,-0.39,1.17,0.15,0,,,
421727,-0.54,0.83,0.73,0,,,
421731,-0.54,0.83,0.73,0,,,
421735,-0.54,0.83,0.73,0,,,
421739,-0.54,0.83,0.73,0,,,
421744,-0.59,1.07,0.83,0,,,
421748,-0.59,1.07,0.83,0,,,
421752,-0.59,1.07,0.83,0,,,
421757,-0.59,1.07,0.83,0,,,
421761,-0.59,1.07,0.73,0,,,
421766,-0.64,1.07,0.73,0,,,
421770,-0.64,1.07,0.73,0,,,
421774,-0.64,1.07,0.73,0,,,
421779,-0.64,1.07,0.73,0,,,
421783,-0.64,1.03,0.78,0,,,
421787,-0.64,1.03,0.78,0,,,
421792,-0.64,1.03,0.78,0,,,
421796,-0.64,1.03,0.78,0,,,
421800,-0.68,0.98,0.73,0,,,
421805,-0.68,0.98,0.73,0,,,
421809,-0.68,0.98,0.73,0,,,
421813,-0.68,0.98,0.73,0,,,
421818,-0.68,0.98,0.59,0,,,
421822,-0.64,1.07,0.59,0,,,
421826,-0.64,1.07,0.59,0,,,
421830,-0.64,1.07,0.59,0,,,
421835,-0.64,1.07,0.59,0,,,
421839,-0.59,0.78,1.03,0,,,
421843,-0.59,0.78,1.03,0,,,
421848,-0.59,0.78,1.03,0,,,
421852,-0.59,0.78,1.03,0,,,
421856,-0.59,0.78,0.93,0,,,
421860,-0.98,0.54,0.93,0,,,
421865,-0.98,0.54,0.93,0,,,
421869,-0.98,0.54,0.93,0,,,
421873,-0.98,0.54,0.93,0,,,
421878,-0.73,0.49,0.93,0,,,
421882,-0.73,0.49,0.93,0,,,
421886,-0.73,0.49,0.93,0,,,
