"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"347256,0.26,1.33,-9.76,-0.01,-0.01,-0.01"
"347262,0.18,1.36,-9.76,-0.01,-0.01,-0.00"
"347266,0.16,1.32,-9.81,-0.01,-0.00,-0.01"
"347271,0.20,1.37,-9.82,-0.01,-0.01,-0.00"
"347275,0.28,1.34,-9.80,-0.01,-0.01,-0.01"
"347281,0.15,1.32,-9.80,-0.01,-0.00,-0.00"
"347285,0.15,1.28,-9.69,-0.02,-0.01,-0.01"
"347290,0.15,1.33,-9.88,-0.02,-0.00,-0.00"
"347294,0.15,1.34,-9.79,-0.01,-0.00,-0.00"
"347299,0.26,1.36,-9.77,-0.01,-0.01,-0.00"
"347304,0.17,1.35,-9.79,-0.01,-0.00,-0.01"
"347308,0.18,1.33,-9.74,-0.01,-0.01,-0.01"
"347312,0.21,1.37,-9.79,-0.01,-0.01,-0.00"
"347316,0.20,1.37,-9.70,-0.02,-0.00,-0.00"
"347319,0.15,1.25,-9.81,-0.01,-0.00,-0.01"
"347323,0.18,1.34,-9.80,-0.01,-0.01,-0.00"
"347327,0.21,1.35,-9.82,-0.02,-0.00,-0.00"
"347331,0.23,1.25,-9.74,-0.01,-0.00,-0.00"
"347335,0.23,1.30,-9.75,-0.02,-0.00,-0.00"
"347339,0.14,1.38,-9.78,-0.02,-0.00,-0.00"
"347343,0.15,1.32,-9.74,-0.02,-0.00,-0.00"
"347347,0.22,1.32,-9.82,-0.01,-0.01,-0.00"
"347351,0.11,1.37,-9.80,-0.01,-0.01,-0.00"
"347355,0.21,1.38,-9.81,-0.01,-0.00,-0.00"
"347359,0.18,1.34,-9.76,-0.02,-0.01,-0.00"
"347520,0.14,1.29,-9.79,-0.02,-0.01,0.00"
"347524,0.18,1.30,-9.75,-0.01,-0.01,0.00"
"347528,0.22,1.26,-9.74,-0.02,-0.01,0.00"
"347532,0.18,1.27,-9.75,-0.02,-0.01,0.00"
"347536,0.14,1.36,-9.72,-0.02,-0.00,0.00"
"347539,0.20,1.33,-9.83,-0.02,-0.01,0.00"
"347724,0.13,1.22,-9.84,-0.02,-0.01,0.01"
"347728,0.19,1.34,-9.78,-0.02,-0.01,0.01"
"347731,0.11,1.29,-9.77,-0.02,-0.01,0.01"
"347735,0.24,1.33,-9.83,-0.01,-0.01,0.01"
"347739,0.20,1.32,-9.81,-0.01,-0.01,0.01"
"347743,0.15,1.23,-9.87,-0.01,-0.01,0.01"
"347892,0.27,1.23,-9.74,-0.00,-0.01,0.01"
"347896,0.16,1.20,-9.78,-0.00,-0.01,0.01"
"347900,0.19,1.29,-9.84,-0.01,-0.01,0.01"
"347904,0.19,1.28,-9.76,-0.00,-0.01,0.01"
"347908,0.15,1.30,-9.81,-0.00,-0.01,0.01"
"347911,0.24,1.24,-9.80,-0.00,-0.01,0.01"
"347915,0.16,1.31,-9.77,-0.00,-0.01,0.01"
"347942,0.20,1.32,-9.75,-0.00,-0.01,0.01"
"347946,0.17,1.24,-9.77,-0.00,-0.01,0.01"
"347949,0.13,1.23,-9.77,-0.00,-0.01,0.01"
"347953,0.23,1.23,-9.79,-0.00,-0.01,0.01"
"347957,0.09,1.32,-9.73,-0.00,-0.01,0.01"
"347961,0.17,1.23,-9.77,-0.00,-0.01,0.01"
"347968,0.23,1.26,-9.80,-0.00,-0.01,0.01"
"347972,0.13,1.32,-9.75,-0.00,-0.01,0.01"
"347976,0.12,1.23,-9.77,-0.00,-0.01,0.01"
"347980,0.24,1.24,-9.67,0.00,-0.01,0.01"
"348033,0.05,1.27,-9.81,0.00,-0.01,0.01"
"348039,0.10,1.31,-9.77,0.00,-0.01,0.01"
"348043,0.14,1.25,-9.79,0.00,-0.01,0.01"
"348048,0.18,1.32,-9.74,0.00,-0.02,0.01"
"348053,0.15,1.24,-9.82,0.00,-0.01,0.01"
"348058,0.19,1.22,-9.81,0.00,-0.01,0.01"
"348062,0.22,1.23,-9.78,0.00,-0.01,0.01"
"348066,0.14,1.28,-9.81,0.00,-0.01,0.01"
"348070,0.24,1.32,-9.71,0.01,-0.01,0.01"
"348074,0.16,1.26,-9.80,0.00,-0.01,0.01"
"348078,0.20,1.27,-9.81,0.01,-0.01,0.01"
"348083,0.13,1.18,-9.71,0.01,-0.01,0.01"
"348089,0.22,1.33,-9.79,0.01,-0.01,0.01"
"348095,0.22,1.29,-9.80,0.01,-0.01,0.01"
"348100,0.17,1.21,-9.80,0.01,-0.01,0.01"
"348104,0.16,1.27,-9.83,0.01,-0.01,0.01"
"348108,0.09,1.26,-9.76,0.01,-0.01,0.01"
"348114,0.20,1.22,-9.84,0.01,-0.01,0.01"
"348119,0.12,1.21,-9.78,0.01,-0.01,0.01"
"348125,0.23,1.32,-9.86,0.01,-0.01,0.01"
"348129,0.11,1.26,-9.78,0.01,-0.01,0.01"
"348134,0.25,1.24,-9.80,0.01,-0.01,0.02"
"348138,0.19,1.28,-9.80,0.01,-0.01,0.01"
"348141,0.26,1.27,-9.81,0.01,-0.01,0.01"
"348146,0.19,1.27,-9.82,0.01,-0.01,0.01"
"348150,0.20,1.29,-9.77,0.01,-0.01,0.01"
"348155,0.14,1.24,-9.73,0.01,-0.01,0.01"
"348162,0.21,1.23,-9.75,0.01,-0.01,0.01"
"348167,0.13,1.23,-9.76,0.01,-0.01,0.01"
"348171,0.14,1.27,-9.82,0.01,-0.01,0.01"
"348176,0.20,1.28,-9.78,0.01,-0.01,0.01"
"348180,0.15,1.28,-9.81,0.01,-0.01,0.01"
"348184,0.21,1.31,-9.80,0.01,-0.01,0.01"
"348188,0.11,1.17,-9.73,0.01,-0.01,0.01"
"348192,0.20,1.28,-9.75,0.01,-0.01,0.01"
"348196,0.20,1.29,-9.75,0.01,-0.01,0.01"
"348199,0.18,1.29,-9.73,0.01,-0.01,0.01"
"348203,0.16,1.32,-9.83,0.02,-0.01,0.01"
"348213,0.15,1.22,-9.79,0.01,-0.01,0.01"
"348222,0.17,1.29,-9.83,0.02,-0.01,0.01"
"348227,0.11,1.30,-9.77,0.01,-0.01,0.01"
"348231,0.15,1.25,-9.82,0.01,-0.02,0.02"
"348236,0.11,1.24,-9.75,0.02,-0.01,0.01"
"348241,0.12,1.28,-9.78,0.02,-0.01,0.01"
"348244,0.18,1.22,-9.77,0.02,-0.02,0.01"
"348249,0.17,1.29,-9.75,0.02,-0.01,0.01"
"348254,0.18,1.21,-9.76,0.02,-0.01,0.01"
"348257,0.15,1.24,-9.78,0.02,-0.01,0.01"
"348261,0.19,1.22,-9.79,0.02,-0.01,0.01"
"348265,0.11,1.37,-9.81,0.02,-0.01,0.01"
"348269,0.11,1.35,-9.71,0.02,-0.01,0.01"
"348273,0.09,1.28,-9.78,0.02,-0.01,0.01"
"348276,0.18,1.19,-9.73,0.02,-0.01,0.01"
"348280,0.21,1.23,-9.78,0.02,-0.01,0.01"
"348289,0.19,1.23,-9.80,0.02,-0.01,0.01"
"348293,0.20,1.24,-9.76,0.02,-0.01,0.01"
"348298,0.14,1.23,-9.77,0.02,-0.01,0.01"
"348302,0.24,1.19,-9.78,0.02,-0.01,0.01"
"348307,0.21,1.26,-9.71,0.02,-0.01,0.01"
"348311,0.13,1.31,-9.83,0.02,-0.01,0.01"
"348314,0.21,1.27,-9.80,0.02,-0.01,0.01"
"348318,0.18,1.30,-9.72,0.02,-0.01,0.01"
"348322,0.18,1.23,-9.87,0.02,-0.01,0.01"
"348326,0.13,1.28,-9.80,0.03,-0.01,0.01"
"348330,0.24,1.28,-9.75,0.02,-0.02,0.01"
"348345,0.25,1.27,-9.84,0.03,-0.01,0.01"
"348350,0.21,1.21,-9.73,0.03,-0.01,0.01"
"348357,0.24,1.25,-9.80,0.03,-0.01,0.01"
"348363,0.16,1.35,-9.79,0.03,-0.01,0.01"
"348367,0.17,1.23,-9.72,0.03,-0.01,0.01"
"348372,0.11,1.25,-9.74,0.03,-0.01,0.01"
"348376,0.19,1.19,-9.79,0.03,-0.01,0.01"
"348380,0.09,1.35,-9.77,0.03,-0.01,0.01"
"348383,0.19,1.21,-9.76,0.02,-0.01,0.01"
"348388,0.23,1.25,-9.76,0.03,-0.01,0.01"
"348392,0.14,1.32,-9.72,0.03,-0.01,0.01"
"348396,0.15,1.26,-9.85,0.03,-0.01,0.01"
"348401,0.11,1.26,-9.76,0.03,-0.01,0.01"
"348405,0.22,1.34,-9.78,0.03,-0.01,0.01"
"348410,0.19,1.24,-9.82,0.03,-0.01,0.01"
"348414,0.16,1.29,-9.86,0.03,-0.01,0.01"
"348419,0.15,1.23,-9.81,0.03,-0.01,0.01"
"348423,0.10,1.32,-9.78,0.03,-0.01,0.01"
"348427,0.09,1.26,-9.76,0.03,-0.01,0.01"
"348431,0.17,1.28,-9.79,0.03,-0.01,0.01"
"348434,0.24,1.31,-9.74,0.03,-0.01,0.01"
"348438,0.21,1.28,-9.84,0.03,-0.01,0.01"
"348444,0.17,1.26,-9.71,0.03,-0.01,0.01"
"348454,0.18,1.25,-9.78,0.03,-0.01,0.01"
"348460,0.11,1.26,-9.79,0.03,-0.01,0.01"
"348465,0.19,1.33,-9.77,0.03,-0.01,0.01"
"348469,0.17,1.18,-9.78,0.03,-0.01,0.01"
"348475,0.19,1.36,-9.79,0.03,-0.01,0.01"
"348479,0.14,1.30,-9.81,0.03,-0.01,0.01"
"348485,0.11,1.30,-9.77,0.03,-0.01,0.01"
"348489,0.21,1.21,-9.81,0.04,-0.01,0.01"
"348494,0.20,1.39,-9.89,0.04,-0.01,0.01"
"348498,0.14,1.28,-9.74,0.03,-0.01,0.01"
"348505,0.16,1.30,-9.77,0.04,-0.01,0.01"
"348509,0.21,1.30,-9.86,0.03,-0.01,0.01"
