millis a_x a_y a_z f
 -1.03 1.07 1.27 0
340022 -1.03 1.07 1.27 0
340026 -1.03 1.07 1.27 0
340030 -1.03 1.07 1.27 0
340033 -1.03 1.07 1.27 0
340137 -1.03 1.07 1.27 0
340141 -1.03 1.07 1.27 0
340145 -1.03 1.07 1.27 0
340149 -1.03 1.07 1.27 0
340154 -1.03 1.07 1.27 0
340158 -1.03 1.07 1.27 0
340161 -1.03 1.07 1.27 0
340165 -1.03 1.07 1.27 0
340169 -1.03 1.07 1.27 0
340173 -1.03 1.07 1.27 0
340177 -1.03 1.07 1.27 0
340181 -1.03 1.07 1.27 0
340185 -1.03 1.07 1.27 0
340189 -1.03 1.07 1.27 0
340192 -1.03 1.07 1.27 0
340196 -1.03 1.07 1.27 0
340200 -1.03 1.07 1.27 0
340204 -1.03 1.07 1.27 0
340208 -1.03 1.07 1.27 0
340212 -1.03 1.07 1.27 0
340216 -1.03 1.07 1.27 0
340219 -1.03 1.07 1.27 0
340223 -1.03 1.07 1.27 0
340227 -1.03 1.07 1.27 0
340231 -1.03 1.07 1.27 0
340235 -1.03 1.07 1.27 0
340239 -1.03 1.07 1.27 0
340243 -1.03 1.07 1.27 0
340246 -1.03 1.07 1.27 0
340250 -1.03 1.07 1.27 0
340254 -1.03 1.07 1.27 0
340258 -1.03 1.07 1.27 0
340262 -1.03 1.07 1.27 0
340266 -1.03 1.07 1.27 0
340270 -1.03 1.07 1.27 0
340274 -1.03 1.07 1.27 0
340278 -1.03 1.07 1.27 0
340281 -1.03 1.07 1.27 0
340285 -1.03 1.07 1.27 0
340289 -1.03 1.07 1.27 0
340293 -1.03 1.07 1.27 0
340297 -1.03 1.07 1.27 0
340301 -1.03 1.07 1.27 0
340305 -1.03 1.07 1.27 0
340309 -1.03 1.07 1.27 0
340313 -1.03 1.07 1.27 0
340317 -1.03 1.07 1.27 0
340321 -1.03 1.07 1.27 0
340325 -1.03 1.07 1.27 0
340328 -1.03 1.07 1.27 0
340332 -1.03 1.07 1.27 0
340336 -1.03 1.07 1.27 0
340340 -1.03 1.07 1.27 0
340344 -1.03 1.07 1.27 0
340348 -1.03 1.07 1.27 0
340352 -1.03 1.07 1.27 0
340356 -1.03 1.07 1.27 0
340359 -1.03 1.07 1.27 0
340363 -1.03 1.07 1.27 0
340367 -1.03 1.07 1.27 0
340371 -1.03 1.07 1.27 0
340399 -1.03 1.07 1.27 0
340403 -1.03 1.07 1.27 0
340407 -1.03 1.07 1.27 0
340411 -1.03 1.07 1.27 0
340415 -1.03 1.07 1.27 0
340419 -1.03 1.07 1.27 0
340423 -1.03 1.07 1.27 0
340427 -1.03 1.07 1.27 0
340430 -1.03 1.07 1.27 0
