"millis, a_x, a_y, a_z, g_x, g_y, g_z"
"73980,0.11,1.36,-9.75,-0.00,0.00,-0.00"
"73984,0.09,1.33,-9.78,0.00,0.00,-0.00"
"73989,0.12,1.33,-9.74,0.00,-0.00,-0.00"
"73995,0.09,1.30,-9.80,0.00,-0.00,-0.00"
"73999,0.17,1.36,-9.80,-0.00,-0.00,0.00"
"74004,0.04,1.34,-9.83,0.00,-0.00,-0.00"
"74010,0.21,1.38,-9.71,-0.00,0.00,-0.00"
"74014,0.22,1.35,-9.75,-0.00,-0.00,-0.00"
"74018,0.13,1.38,-9.78,-0.00,0.00,-0.00"
"74021,0.13,1.43,-9.80,-0.00,-0.00,-0.00"
"74025,0.17,1.41,-9.79,-0.00,0.00,-0.00"
"74029,0.12,1.40,-9.77,-0.00,0.00,-0.00"
"74033,0.18,1.37,-9.85,-0.00,-0.00,0.00"
"74037,0.12,1.35,-9.70,-0.00,-0.00,0.00"
"74040,0.16,1.34,-9.71,-0.00,-0.00,-0.00"
"74044,0.10,1.37,-9.85,-0.01,0.00,-0.00"
"74048,0.26,1.31,-9.75,-0.00,0.00,-0.00"
"74052,0.12,1.39,-9.74,-0.00,0.00,0.00"
"74056,0.22,1.35,-9.76,-0.00,0.00,0.00"
"74060,0.12,1.35,-9.80,-0.01,0.00,-0.00"
"74064,0.14,1.39,-9.77,-0.01,0.00,-0.00"
"74068,0.10,1.39,-9.76,-0.00,0.00,0.00"
"74072,0.20,1.40,-9.77,-0.01,0.00,-0.00"
"74076,0.06,1.31,-9.79,-0.01,0.00,0.00"
"74080,0.15,1.31,-9.81,-0.01,0.00,0.00"
"74205,0.21,1.31,-9.74,-0.01,0.00,-0.00"
"74209,0.13,1.38,-9.85,-0.01,0.00,-0.00"
"74212,0.12,1.37,-9.81,-0.01,0.00,-0.00"
"74216,0.17,1.35,-9.71,-0.01,0.00,-0.00"
"74220,0.15,1.36,-9.81,-0.01,0.00,-0.00"
"74224,0.20,1.31,-9.71,-0.01,0.00,-0.00"
"74228,0.15,1.35,-9.82,-0.01,0.00,-0.00"
"74232,0.11,1.33,-9.81,-0.01,0.00,-0.00"
"74236,0.16,1.32,-9.79,-0.01,0.01,-0.00"
"74435,0.14,1.30,-9.76,-0.02,0.00,-0.00"
"74439,0.07,1.36,-9.76,-0.02,0.00,-0.00"
"74443,0.06,1.30,-9.85,-0.02,0.00,-0.00"
"74447,0.21,1.27,-9.75,-0.02,0.00,-0.00"
"74450,0.22,1.25,-9.77,-0.02,0.01,-0.00"
"74454,0.05,1.30,-9.78,-0.02,0.00,-0.00"
"74464,0.14,1.31,-9.78,-0.02,0.00,-0.00"
"74467,0.13,1.28,-9.78,-0.02,0.01,-0.00"
"74471,0.14,1.33,-9.71,-0.02,0.00,-0.00"
"74491,0.10,1.32,-9.80,-0.02,0.00,-0.00"
"74519,0.11,1.23,-9.83,-0.02,0.00,-0.00"
"74523,0.08,1.31,-9.81,-0.02,0.00,-0.00"
"74527,0.21,1.31,-9.79,-0.02,0.00,-0.00"
"74531,0.04,1.35,-9.75,-0.02,0.00,-0.00"
"74535,0.11,1.29,-9.82,-0.02,0.00,-0.00"
"74545,0.04,1.40,-9.78,-0.01,0.00,-0.00"
"74555,0.10,1.29,-9.81,-0.01,0.01,-0.00"
"74560,0.12,1.29,-9.78,-0.01,0.00,-0.00"
"74566,0.08,1.28,-9.74,-0.02,0.01,-0.00"
"74569,0.15,1.25,-9.81,-0.02,0.00,-0.00"
"74574,0.08,1.31,-9.79,-0.01,0.00,-0.00"
"74578,0.11,1.28,-9.81,-0.02,0.00,-0.00"
"74582,0.18,1.30,-9.74,-0.01,0.00,-0.00"
"74587,0.09,1.30,-9.80,-0.01,0.00,-0.00"
"74590,0.12,1.29,-9.78,-0.01,0.00,-0.00"
"74594,0.11,1.34,-9.85,-0.01,0.00,-0.00"
"74599,0.02,1.31,-9.76,-0.01,0.00,-0.00"
"74603,0.11,1.25,-9.73,-0.01,0.00,-0.00"
"74607,0.11,1.38,-9.79,-0.01,0.00,-0.00"
"74611,0.07,1.27,-9.80,-0.01,0.00,-0.00"
"74616,0.07,1.36,-9.77,-0.01,0.00,-0.00"
"74620,0.11,1.34,-9.75,-0.01,0.00,-0.00"
"74625,0.14,1.32,-9.85,-0.01,0.00,-0.00"
"74629,0.09,1.34,-9.78,-0.01,0.00,-0.00"
"74632,0.13,1.32,-9.77,-0.01,0.00,-0.00"
