millis a_x a_y a_z f
 -1.22 0.10 1.37 0
66433 -1.22 0.10 1.37 0
66437 -1.22 0.10 1.37 0
66441 -1.22 0.10 1.37 0
66445 -1.22 0.10 1.37 0
66589 -1.22 0.10 1.37 0
66593 -1.22 0.10 1.37 0
66597 -1.22 0.10 1.37 0
66601 -1.22 0.10 1.37 0
66605 -1.22 0.10 1.37 0
66608 -1.22 0.10 1.37 0
66612 -1.22 0.10 1.37 0
66616 -1.22 0.10 1.37 0
66620 -1.22 0.10 1.37 0
66624 -1.22 0.10 1.37 0
66628 -1.22 0.10 1.37 0
66632 -1.22 0.10 1.37 0
66636 -1.22 0.10 1.37 0
66639 -1.22 0.10 1.37 0
66644 -1.22 0.10 1.37 0
66648 -1.22 0.10 1.37 0
66652 -1.22 0.10 1.37 0
66655 -1.22 0.10 1.37 0
66659 -1.22 0.10 1.37 0
66663 -1.22 0.10 1.37 0
66667 -1.22 0.10 1.37 0
66671 -1.22 0.10 1.37 0
66675 -1.22 0.10 1.37 0
66679 -1.22 0.10 1.37 0
66683 -1.22 0.10 1.37 0
66687 -1.22 0.10 1.37 0
66691 -1.22 0.10 1.37 0
66695 -1.22 0.10 1.37 0
66699 -1.22 0.10 1.37 0
66702 -1.22 0.10 1.37 0
66706 -1.22 0.10 1.37 0
66710 -1.22 0.10 1.37 0
66714 -1.22 0.10 1.37 0
66718 -1.22 0.10 1.37 0
66722 -1.22 0.10 1.37 0
66726 -1.22 0.10 1.37 0
66730 -1.22 0.10 1.37 0
66734 -1.22 0.10 1.37 0
66738 -1.22 0.10 1.37 0
66742 -1.22 0.10 1.37 0
66745 -1.22 0.10 1.37 0
66749 -1.22 0.10 1.37 0
66754 -1.22 0.10 1.37 0
66758 -1.22 0.10 1.37 0
66762 -1.22 0.10 1.37 0
66765 -1.22 0.10 1.37 0
66769 -1.22 0.10 1.37 0
66774 -1.22 0.10 1.37 0
66778 -1.22 0.10 1.37 0
66781 -1.22 0.10 1.37 0
66785 -1.22 0.10 1.37 0
66789 -1.22 0.10 1.37 0
66793 -1.22 0.10 1.37 0
66797 -1.22 0.10 1.37 0
66801 -1.22 0.10 1.37 0
66805 -1.22 0.10 1.37 0
66809 -1.22 0.10 1.37 0
66813 -1.22 0.10 1.37 0
66816 -1.22 0.10 1.37 0
66820 -1.22 0.10 1.37 0
66824 -1.22 0.10 1.37 0
66861 -1.22 0.10 1.37 0
66865 -1.22 0.10 1.37 0
66869 -1.22 0.10 1.37 0
66873 -1.22 0.10 1.37 0
66877 -1.22 0.10 1.37 0
66881 -1.22 0.10 1.37 0
66885 -1.22 0.10 1.37 0
66889 -1.22 0.10 1.37 0
66893 -1.22 0.10 1.37 0
66897 -1.22 0.10 1.37 0
66901 -1.22 0.10 1.37 0
66905 -1.22 0.10 1.37 0
66909 -1.22 0.10 1.37 0
66913 -1.22 0.10 1.37 0
66917 -1.22 0.10 1.37 0
66921 -1.22 0.10 1.37 0
66925 -1.22 0.10 1.37 0
66929 -1.22 0.10 1.37 0
66933 -1.22 0.10 1.37 0
66937 -1.22 0.10 1.37 0
66940 -1.22 0.10 1.37 0
66944 -1.22 0.10 1.37 0
66949 -1.22 0.10 1.37 0
66953 -1.22 0.10 1.37 0
66956 -1.22 0.10 1.37 0
66960 -1.22 0.10 1.37 0
66964 -1.22 0.10 1.37 0
66968 -1.22 0.10 1.37 0
66972 -1.22 0.10 1.37 0
66977 -1.22 0.10 1.37 0
66980 -1.22 0.10 1.37 0
66986 -1.22 0.10 1.37 0
66990 -1.22 0.10 1.37 0
66994 -1.22 0.10 1.37 0
66998 -1.22 0.10 1.37 0
67002 -1.22 0.10 1.37 0
67006 -1.22 0.10 1.37 0
67010 -1.22 0.10 1.37 0
67014 -1.22 0.10 1.37 0
67017 -1.22 0.10 1.37 0
67021 -1.22 0.10 1.37 0
67025 -1.22 0.10 1.37 0
67029 -1.22 0.10 1.37 0
67033 -1.22 0.10 1.37 0
67037 -1.22 0.10 1.37 0
67041 -1.22 0.10 1.37 0
67045 -1.22 0.10 1.37 0
67049 -1.22 0.10 1.37 0
67053 -1.22 0.10 1.37 0
67057 -1.22 0.10 1.37 0
67060 -1.22 0.10 1.37 0
67064 -1.22 0.10 1.37 0
67068 -1.22 0.10 1.37 0
67072 -1.22 0.10 1.37 0
67076 -1.22 0.10 1.37 0
67080 -1.22 0.10 1.37 0
67084 -1.22 0.10 1.37 0
67088 -1.22 0.10 1.37 0
67091 -1.22 0.10 1.37 0
67095 -1.22 0.10 1.37 0
67099 -1.22 0.10 1.37 0
67103 -1.22 0.10 1.37 0
67107 -1.22 0.10 1.37 0
67111 -1.22 0.10 1.37 0
67133 -1.22 0.10 1.37 0
67137 -1.22 0.10 1.37 0
67141 -1.22 0.10 1.37 0
67144 -1.22 0.10 1.37 0
67148 -1.22 0.10 1.37 0
67152 -1.22 0.10 1.37 0
67156 -1.22 0.10 1.37 0
67160 -1.22 0.10 1.37 0
67164 -1.22 0.10 1.37 0
67168 -1.22 0.10 1.37 0
67172 -1.22 0.10 1.37 0
67176 -1.22 0.10 1.37 0
67179 -1.22 0.10 1.37 0
67183 -1.22 0.10 1.37 0
67187 -1.22 0.10 1.37 0
67191 -1.22 0.10 1.37 0
67195 -1.22 0.10 1.37 0
67199 -1.22 0.10 1.37 0
67203 -1.22 0.10 1.37 0
67206 -1.22 0.10 1.37 0
67210 -1.22 0.10 1.37 0
67236 -1.22 0.10 1.37 0
67240 -1.22 0.10 1.37 0
67244 -1.22 0.10 1.37 0
67248 -1.22 0.10 1.37 0
67252 -1.22 0.10 1.37 0
67256 -1.22 0.10 1.37 0
67260 0.34 0.39 0.15 0
67264 0.59 0.39 0.15 0
67268 0.59 0.39 0.15 0
67272 0.59 0.39 0.15 0
67275 0.59 0.39 0.15 0
67280 0.59 0.39 0.15 0
67284 0.59 0.39 0.15 0
67288 0.59 0.39 0.15 0
67291 0.59 0.39 0.15 0
67295 0.59 0.39 0.15 0
67300 0.59 0.39 0.15 0
67303 0.59 0.39 0.15 0
67307 0.59 0.39 0.15 0
67311 0.59 0.39 0.15 0
67315 0.59 0.39 0.15 0
67319 0.59 0.39 0.15 0
67323 0.59 0.39 0.15 0
67327 0.59 0.39 0.15 0
67331 0.59 0.39 0.15 0
67335 0.59 0.39 0.15 0
67339 0.59 0.39 0.15 0
67342 0.59 0.39 0.15 0
67347 0.59 0.39 0.15 0
67350 0.59 0.39 0.15 0
67354 0.59 0.39 0.15 0
67358 0.59 0.39 0.15 0
67362 0.59 0.39 0.15 0
67366 0.59 0.39 0.15 0
67370 0.59 0.39 0.15 0
67374 0.59 0.39 0.15 0
67377 0.59 0.39 0.15 0
67381 0.59 0.39 0.15 0
67385 0.59 0.39 0.15 0
67389 0.59 0.39 0.15 0
67393 0.59 0.39 0.15 0
67397 0.59 0.39 0.15 0
67401 0.59 0.39 0.15 0
67405 0.59 0.39 0.15 0
67409 0.59 0.39 0.15 0
67413 0.59 0.39 0.15 0
67416 0.59 0.39 0.15 0
67421 0.59 0.39 0.15 0
67424 0.59 0.39 0.15 0
67428 0.59 0.39 0.15 0
67432 0.59 0.39 0.15 0
67436 0.59 0.39 0.15 0
67440 0.59 0.39 0.15 0
67444 0.59 0.39 0.15 0
67447 0.59 0.39 0.15 0
67451 0.59 0.39 0.15 0
67455 0.59 0.39 0.15 0
67459 0.59 0.39 0.15 0
67463 0.59 0.39 0.15 0
67467 0.59 0.39 0.15 0
67471 0.59 0.39 0.15 0
67475 0.59 0.39 0.15 0
67478 0.59 0.39 0.15 0
67482 0.59 0.39 0.15 0
67486 0.59 0.39 0.15 0
67490 0.59 0.39 0.15 0
67494 0.59 0.39 0.15 0
67498 0.59 0.39 0.15 0
67502 0.59 0.39 0.15 0
67505 0.59 0.39 0.15 0
67509 0.59 0.39 0.15 0
